,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-12-31,1700877000.0,161321000.0,1539556000.0,834803000.0,699393800.0,525318900.0,3.76,143992000.0,9896220000.0,102117000000.0,17980400000.0,120097400000.0,0.0,96192300000.0,8444914000.0,8444914000.0,104637200000.0,15460190000.0,43089000.0,550235000.0,-38374000.0,-2946781000.0,-139002000.0,2690374000.0,143.13
2019-03-31,1727074000.0,176249000.0,1550825000.0,911328100.0,634476900.0,462086000.0,3.35,137889000.0,9146479000.0,101806500000.0,18218660000.0,120025200000.0,0.0,95961650000.0,8476024000.0,8476024000.0,104437700000.0,15587530000.0,72172000.0,413306000.0,-30710000.0,271261000.0,-139595000.0,-1022746000.0,157.02
2019-06-30,1750008000.0,196432000.0,1553576000.0,922955000.0,625543900.0,452632000.0,3.34,135433000.0,10542770000.0,104276600000.0,17278300000.0,121554900000.0,0.0,98207560000.0,7655507000.0,7655507000.0,105863100000.0,15691830000.0,73925000.0,66872000.0,-51947000.0,-852120000.0,-134442000.0,789599000.0,170.07
2019-09-30,1757248000.0,199579000.0,1557669000.0,917531000.0,635050000.0,461410000.0,3.47,132965000.0,14928840000.0,109122700000.0,16378210000.0,125500900000.0,0.0,102718600000.0,7002524000.0,7002524000.0,109721100000.0,15779810000.0,77946000.0,746670000.0,-36865000.0,-3418808000.0,-132930000.0,3219588000.0,157.97
2019-12-31,1706942000.0,177069000.0,1529873000.0,873377900.0,652189700.0,473381000.0,3.6,134428000.0,9096588000.0,104612400000.0,15260320000.0,119872800000.0,2337000000.0,97169920000.0,6986186000.0,6986186000.0,104156100000.0,15716650000.0,77272000.0,1130707000.0,-58527000.0,4726674000.0,-145171000.0,-6240137000.0,169.75
2020-03-31,1649779000.0,143614000.0,1506165000.0,1152503000.0,349748900.0,250701000.0,1.9300000000000002,129696000.0,11418790000.0,109848400000.0,14729380000.0,124577800000.0,160000000.0,102440600000.0,6321435000.0,6321435000.0,108762000000.0,15815790000.0,77660000.0,-394442000.0,-51547000.0,-3852363000.0,-143170000.0,4108692000.0,103.43
2020-06-30,1519515000.0,75105000.0,1444410000.0,1128129000.0,312367900.0,223098000.0,1.74,128275000.0,23536690000.0,125313000000.0,14223950000.0,139537000000.0,152000000.0,117270600000.0,6321291000.0,6321291000.0,123591900000.0,15945110000.0,76885000.0,525519000.0,-42104000.0,-15091887000.0,-141520000.0,14622988000.0,103.97
2020-09-30,1521722000.0,58066000.0,1463656000.0,972860000.0,486882000.0,353399000.0,2.75,128285000.0,22902740000.0,125146700000.0,13480090000.0,138626800000.0,46000000.0,117066800000.0,5458885000.0,5458885000.0,122525700000.0,16101010000.0,85510000.0,-6012000.0,-31719000.0,967260000.0,-141514000.0,-826830000.0,92.09
2020-12-31,1590141000.0,49610000.0,1540531000.0,916878800.0,620523000.0,451868000.0,3.52,128638000.0,26285130000.0,129786600000.0,12814530000.0,142601100000.0,1074000000.0,122031600000.0,4382193000.0,4382193000.0,126413800000.0,16187280000.0,80233000.0,664122000.0,-46919000.0,-4043490000.0,-141908000.0,3442880000.0,127.3
2021-03-31,1522560000.0,35567000.0,1486993000.0,891706000.0,592549000.0,428091000.0,3.33,128537000.0,33354570000.0,138116900000.0,12364150000.0,150481100000.0,59000000.0,130536000000.0,3498503000.0,3498503000.0,134034500000.0,16446510000.0,79805000.0,994737000.0,-31016000.0,-8931747000.0,-142044000.0,7644256000.0,151.61
2021-06-30,1483991000.0,28018000.0,1455973000.0,847608000.0,605627900.0,438756000.0,3.41,128671000.0,35987850000.0,138761000000.0,11861680000.0,150622700000.0,91000000.0,130403000000.0,3499448000.0,3499448000.0,133902400000.0,16720300000.0,79276000.0,536974000.0,-13443000.0,-50625000.0,-141747000.0,-335870000.0,145.31
2021-09-30,1562072000.0,25696000.0,1536376000.0,876596000.0,657042000.0,475958000.0,3.7,128689000.0,40550050000.0,139736600000.0,12164590000.0,151901200000.0,104000000.0,130872000000.0,3500391000.0,3500391000.0,134372400000.0,17528770000.0,84364000.0,486320000.0,-42706000.0,-1195798000.0,-141750000.0,778726000.0,149.34
2021-12-31,1469000000.0,24725000.0,1512430000.0,910545900.0,599930200.0,434000000.0,3.37,129000000.0,43259630000.0,142209400000.0,12897730000.0,155107200000.0,1053000000.0,133718400000.0,3485369000.0,3485369000.0,137203800000.0,17903400000.0,80763000.0,596102000.0,-62048000.0,-3352599000.0,-154719000.0,2614362000.0,153.58
2022-03-31,1458000000.0,24082000.0,1445061000.0,968485000.0,475320100.0,340000000.0,2.62,129000000.0,37634400000.0,134776200000.0,15087400000.0,149863500000.0,50000000.0,128543900000.0,3443587000.0,3443587000.0,131987500000.0,17876020000.0,83311000.0,371705000.0,-27910000.0,5119645000.0,-156657000.0,-5417467000.0,169.5
2022-06-30,1992000000.0,53425000.0,1982817000.0,1686770000.0,277663100.0,192000000.0,1.08,177000000.0,35509830000.0,170884300000.0,33148610000.0,204032900000.0,1119000000.0,175221000000.0,3017363000.0,3017363000.0,178238400000.0,25794530000.0,122276000.0,619267000.0,-59832000.0,10411086000.0,-213165000.0,-10753539000.0,159.39
2022-09-30,2302000000.0,102822000.0,2241770000.0,1375869000.0,847516700.0,621000000.0,3.5300000000000002,175000000.0,27777010000.0,163003000000.0,34952440000.0,197955500000.0,918000000.0,169239700000.0,3459336000.0,3459336000.0,172699000000.0,25256490000.0,127339000.0,768975000.0,-39068000.0,6587318000.0,-209146000.0,-6788757000.0,176.32
2022-12-31,2509000000.0,244835000.0,2508911000.0,1480688000.0,1010623000.0,765000000.0,4.29,171094000.0,26596810000.0,156235600000.0,44494200000.0,200729800000.0,0.0,171447400000.0,3964537000.0,3964537000.0,175411800000.0,25317990000.0,0.0,0.0,0.0,0.0,578968000.0,0.0,145.06
