,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-03-31,3583000000.0,3583000000.0,1504000000.0,1375000000.0,1089000000.0,6.75,1428000000.0,1375000000.0,161250000.0,6081000000.0,2677000000.0,8758000000.0,207259000000.0,216017000000.0,0.0,2209000000.0,32708000000.0,181786000000.0,183995000000.0,32022000000.0,53000000.0,-141000000.0,-33000000.0,-53000000.0,-505000000.0,-874000000.0,541.72
2018-06-30,3605000000.0,3605000000.0,1475000000.0,1440000000.0,1073000000.0,6.67,1494000000.0,1440000000.0,160981000.0,6724000000.0,2567000000.0,9291000000.0,186258000000.0,195549000000.0,0.0,2401000000.0,28421000000.0,160964000000.0,163365000000.0,32184000000.0,54000000.0,1428000000.0,-30000000.0,-89000000.0,-464000000.0,-599000000.0,499.04
2018-09-30,3576000000.0,3576000000.0,1510000000.0,1396000000.0,1216000000.0,7.59,1453000000.0,1396000000.0,160141500.0,6580000000.0,2682000000.0,9262000000.0,165600000000.0,174862000000.0,0.0,3014000000.0,24610000000.0,139378000000.0,142392000000.0,32470000000.0,57000000.0,1265000000.0,-45000000.0,-558000000.0,-502000000.0,-820000000.0,471.33
2018-12-31,3434000000.0,3434000000.0,1469000000.0,1246000000.0,927000000.0,5.84,1302000000.0,1246000000.0,160301100.0,6488000000.0,2657000000.0,9145000000.0,150428000000.0,159573000000.0,0.0,3280000000.0,25634000000.0,123860000000.0,127140000000.0,32433000000.0,56000000.0,523000000.0,-96000000.0,-108000000.0,-497000000.0,-472000000.0,392.82
2019-03-31,3346000000.0,3346000000.0,1452000000.0,1233000000.0,1053000000.0,6.65,1322000000.0,1233000000.0,158268000.0,4061000000.0,2771000000.0,6832000000.0,158176000000.0,165008000000.0,0.0,1955000000.0,25891000000.0,131691000000.0,133646000000.0,31362000000.0,89000000.0,-225000000.0,-58000000.0,-118000000.0,-556000000.0,-2112000000.0,427.37
2019-06-30,3524000000.0,3524000000.0,1553000000.0,1278000000.0,1003000000.0,6.46,1378000000.0,1278000000.0,155354600.0,4023000000.0,2863000000.0,6886000000.0,156461000000.0,163347000000.0,0.0,2355000000.0,24552000000.0,129042000000.0,131397000000.0,31950000000.0,100000000.0,922000000.0,-47000000.0,-1545000000.0,-515000000.0,604000000.0,469.3
2019-09-30,3692000000.0,3692000000.0,1496000000.0,1502000000.0,1119000000.0,7.21,1607000000.0,1502000000.0,155280900.0,4607000000.0,3026000000.0,7633000000.0,156239000000.0,163872000000.0,0.0,3282000000.0,24817000000.0,128123000000.0,131405000000.0,32467000000.0,105000000.0,931000000.0,-55000000.0,-444000000.0,-513000000.0,139000000.0,445.64
2019-12-31,3977000000.0,3977000000.0,1727000000.0,1538000000.0,1301000000.0,8.38,1540000000.0,1538000000.0,156014000.0,4829000000.0,3179000000.0,8008000000.0,160614000000.0,168622000000.0,0.0,3224000000.0,20421000000.0,131785000000.0,135009000000.0,33613000000.0,2000000.0,1256000000.0,-94000000.0,93000000.0,-512000000.0,-1214000000.0,502.7
2020-03-31,3710000000.0,3710000000.0,2279000000.0,684000000.0,806000000.0,5.19,766000000.0,684000000.0,155243300.0,4406000000.0,3095000000.0,7501000000.0,141519000000.0,149020000000.0,0.0,1840000000.0,20710000000.0,114110000000.0,115950000000.0,33070000000.0,82000000.0,-938000000.0,-52000000.0,-34000000.0,-596000000.0,628000000.0,439.97
2020-06-30,3648000000.0,3648000000.0,1540000000.0,1406000000.0,1214000000.0,7.9,1492000000.0,1406000000.0,153732900.0,5466000000.0,2990000000.0,8456000000.0,148886000000.0,157342000000.0,0.0,2103000000.0,21557000000.0,122453000000.0,124556000000.0,32786000000.0,86000000.0,1707000000.0,-48000000.0,-124000000.0,-554000000.0,-522000000.0,544.09
