,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2019-06-30,1272700000.0,1272700000.0,362400000.0,698599900.0,513800000.0,1.44,820999900.0,698599900.0,357060000.0,1019500000.0,593700000.0,34462400000.0,35887100000.0,70349500000.0,0.0,32934700000.0,4072900000.0,10929900000.0,43864600000.0,26484900000.0,122400000.0,473700000.0,-72500000.0,-41300000.0,-267800000.0,-489600000.0,194.11
2019-09-30,1277300000.0,1277300000.0,365000000.0,685200000.0,636300000.0,1.78,806400000.0,685200000.0,357211000.0,1290200000.0,545700000.0,43692300000.0,35725300000.0,79417600000.0,0.0,41913500000.0,3873300000.0,10690800000.0,52604300000.0,26813300000.0,121200000.0,810200000.0,-57600000.0,-46800000.0,-267900000.0,-490200000.0,211.34
2019-12-31,1138400000.0,1138400000.0,361800000.0,573000200.0,469500000.0,1.31,689100200.0,573000200.0,357155000.0,1634600000.0,491800000.0,39567800000.0,35647500000.0,75215300000.0,50000000.0,38522500000.0,3743200000.0,10533500000.0,49056000000.0,26159300000.0,116100000.0,719700000.0,-66400000.0,-15900000.0,-268100000.0,-2741800000.0,200.72
2020-03-31,1522100000.0,1522100000.0,370800000.0,959900000.0,766200000.0,2.14,1072500000.0,959900000.0,357524000.0,929200000.0,799700000.0,102416600000.0,35515700000.0,137932300000.0,49000000.0,101053700000.0,3539800000.0,10279900000.0,111333600000.0,26598700000.0,112600000.0,757100000.0,-42800000.0,-43000000.0,-1197600000.0,-1413900000.0,172.91
2020-06-30,1182300000.0,1182300000.0,372700000.0,637500100.0,503300000.0,1.4100000000000001,750800000.0,637500100.0,357691000.0,1493500000.0,532100000.0,81786200000.0,35428600000.0,117214800000.0,48000000.0,80201400000.0,3440900000.0,10174500000.0,90375900000.0,26838900000.0,113300000.0,986800000.0,-36400000.0,-36500000.0,-304000000.0,-396600000.0,162.54
2020-09-30,1080700000.0,1080700000.0,370600000.0,525000000.0,411700000.0,1.15,643000000.0,525000000.0,357791000.0,1424500000.0,490900000.0,90349300000.0,35409500000.0,125758800000.0,50000000.0,88630900000.0,3442200000.0,10117500000.0,98748400000.0,27010400000.0,118000000.0,311400000.0,-48300000.0,-43900000.0,-304100000.0,-340700000.0,167.31
2020-12-31,1098500000.0,1098500000.0,377100000.0,515000200.0,423999900.0,1.18,635500200.0,515000200.0,357764000.0,1734100000.0,461300000.0,89283900000.0,35375700000.0,124659600000.0,52000000.0,88197900000.0,3443800000.0,10110200000.0,98308100000.0,26351500000.0,120500000.0,660300000.0,-70000000.0,-52100000.0,-304300000.0,49397800000.0,182.05
2021-03-31,1253300000.0,1253300000.0,375300000.0,725100000.0,574400000.0,1.6,823300000.0,725100000.0,358147000.0,1041600000.0,547000000.0,126745500000.0,33906600000.0,160652100000.0,55000000.0,124222500000.0,3443600000.0,9873700000.0,134096200000.0,26555900000.0,98200000.0,602700000.0,-28500000.0,-34000000.0,-1217500000.0,35399000000.0,204.23
2021-06-30,1179200000.0,1179200000.0,352000000.0,674700000.0,510300000.0,1.42,771200000.0,674700000.0,358261000.0,1191900000.0,509600000.0,144849000000.0,33850100000.0,178699100000.0,55000000.0,142012800000.0,3444600000.0,9898900000.0,151911700000.0,26787400000.0,96500000.0,499800000.0,-39700000.0,-34000000.0,-322500000.0,17564700000.0,212.68
2021-09-30,1109900000.0,1109900000.0,350700000.0,613700000.0,926500000.0,2.59,709900000.0,613700000.0,358363000.0,1569700000.0,470400000.0,151594400000.0,35179900000.0,186774300000.0,805000000.0,150417100000.0,2695700000.0,9075100000.0,159492200000.0,27282100000.0,96200000.0,631600000.0,-31700000.0,58800000.0,-322500000.0,7549700000.0,193.38
2021-12-31,1147300000.0,1147300000.0,340200000.0,631700300.0,605900000.0,1.71,726200300.0,631700300.0,358340000.0,2949900000.0,434500000.0,161761800000.0,35018500000.0,196780300000.0,805000000.0,160398400000.0,2695700000.0,8982600000.0,169381000000.0,27399300000.0,94500000.0,668300000.0,12000000.0,67600000.0,-326800000.0,9395300000.0,228.46
2022-03-31,1346600000.0,1346600000.0,343800000.0,859100000.0,702000000.0,1.96,951000000.0,859100000.0,358609000.0,2155300000.0,608900000.0,171004300000.0,34913400000.0,205917700000.0,55000000.0,168458600000.0,3437100000.0,9722301000.0,178180900000.0,27736800000.0,91900000.0,799100000.0,-23400000.0,-22900000.0,-1543500000.0,8221600000.0,237.86
2022-06-30,1237200000.0,1237200000.0,346300000.0,749700000.0,654100000.0,1.82,839799900.0,749700000.0,358641000.0,1974600000.0,582300000.0,141451000000.0,35220300000.0,176671300000.0,57000000.0,139000100000.0,3436700000.0,9669500000.0,148669600000.0,28001700000.0,90100000.0,617600000.0,-17900000.0,-417600000.0,-363300000.0,-29672700000.0,204.7
2022-09-30,1227800000.0,1227800000.0,355100000.0,738800000.0,671100000.0,1.87,828800000.0,738800000.0,358715000.0,2221400000.0,580200000.0,143252900000.0,35178600000.0,178431500000.0,72000000.0,140572700000.0,3421800000.0,9608000000.0,150180700000.0,28250800000.0,90000000.0,657800000.0,-24000000.0,-23600000.0,-363200000.0,1160600000.0,177.13
