,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2018-03-31,7831000000.0,5717000000.0,2114000000.0,692000000.0,1384000000.0,1082000000.0,2.3,1624000000.0,1384000000.0,465703000.0,2113000000.0,24733000000.0,26846000000.0,141935000000.0,168781000000.0,3081000000.0,101893000000.0,12786000000.0,15601000000.0,117494000000.0,51287000000.0,240000000.0,551000000.0,-881000000.0,-330000000.0,1567000000.0,136.77
2018-06-30,8510000000.0,6101000000.0,2409000000.0,747000000.0,1692000000.0,1294000000.0,2.76,1933000000.0,1692000000.0,465277000.0,1101000000.0,25337000000.0,26438000000.0,141096000000.0,167534000000.0,2013000000.0,101390000000.0,12184000000.0,15173000000.0,116563000000.0,50971000000.0,241000000.0,1646000000.0,-379000000.0,-331000000.0,-2216000000.0,127.02
2018-09-30,8750000000.0,6499000000.0,2251000000.0,719000000.0,1594000000.0,1231000000.0,2.64,1820000000.0,1594000000.0,462982000.0,1157000000.0,25487000000.0,26644000000.0,141040000000.0,167684000000.0,1914000000.0,101787000000.0,12149000000.0,14963000000.0,116750000000.0,50934000000.0,226000000.0,1700000000.0,-867000000.0,-340000000.0,-775000000.0,133.64
2018-12-31,7626000000.0,6252000000.0,1374000000.0,728000000.0,687000000.0,355000000.0,0.76,911000000.0,687000000.0,463629000.0,1340000000.0,26270000000.0,27610000000.0,140161000000.0,167771000000.0,1927000000.0,102834000000.0,12087000000.0,14625000000.0,117459000000.0,50312000000.0,224000000.0,1583000000.0,-808000000.0,-336000000.0,-567000000.0,129.18
2019-03-31,7876000000.0,5758000000.0,2118000000.0,710000000.0,1371000000.0,1040000000.0,2.25,1565000000.0,1371000000.0,458805000.0,1393000000.0,26166000000.0,27559000000.0,143788000000.0,171347000000.0,1928000000.0,104211000000.0,12071000000.0,14781000000.0,118992000000.0,52355000000.0,194000000.0,1322000000.0,-673000000.0,-336000000.0,-630000000.0,140.08
2019-06-30,8527000000.0,6420000000.0,2107000000.0,758000000.0,1502000000.0,1150000000.0,2.5,1670000000.0,1502000000.0,457224000.0,1368000000.0,26581000000.0,27949000000.0,146567000000.0,174516000000.0,1425000000.0,104611000000.0,13371000000.0,16103000000.0,120714000000.0,53802000000.0,168000000.0,1386000000.0,-1614000000.0,-335000000.0,199000000.0,147.29
2019-09-30,9045000000.0,6813000000.0,2232000000.0,752000000.0,1461000000.0,1091000000.0,2.38,1622000000.0,1461000000.0,454975000.0,1589000000.0,26129000000.0,27718000000.0,147430000000.0,175148000000.0,1426000000.0,105255000000.0,13285000000.0,15321000000.0,120576000000.0,54572000000.0,161000000.0,2205000000.0,-1274000000.0,-343000000.0,-693000000.0,161.44
2019-12-31,8738000000.0,6632000000.0,2106000000.0,810000000.0,1490000000.0,1173000000.0,2.5700000000000003,1667000000.0,1490000000.0,455910000.0,1646000000.0,25735000000.0,27381000000.0,149562000000.0,176943000000.0,2715000000.0,105947000000.0,13559000000.0,15665000000.0,121612000000.0,55331000000.0,177000000.0,1429000000.0,-2344000000.0,-340000000.0,973000000.0,155.66
2020-03-31,7697000000.0,6229000000.0,1468000000.0,741000000.0,599000000.0,252000000.0,0.55,759000000.0,599000000.0,451869000.0,1658000000.0,25152000000.0,26810000000.0,146317000000.0,173127000000.0,2708000000.0,105296000000.0,13510000000.0,15634000000.0,120930000000.0,52197000000.0,160000000.0,1712000000.0,-1010000000.0,-339000000.0,-645000000.0,111.69
2020-06-30,8985000000.0,8393000000.0,592000000.0,727000000.0,-265000000.0,-331000000.0,-0.73,-88000000.0,-265000000.0,451403000.0,1709000000.0,26257000000.0,27966000000.0,153508000000.0,181474000000.0,2709000000.0,110222000000.0,13656000000.0,16492000000.0,126714000000.0,54760000000.0,177000000.0,1985000000.0,-1684000000.0,-339000000.0,-253000000.0,126.62
2020-09-30,9464000000.0,7678000000.0,1786000000.0,733000000.0,1466000000.0,1194000000.0,2.63,1626000000.0,1466000000.0,451794000.0,1873000000.0,26461000000.0,28334000000.0,159452000000.0,187786000000.0,2713000000.0,113569000000.0,14830000000.0,17804000000.0,131373000000.0,56413000000.0,160000000.0,3544000000.0,-4035000000.0,-357000000.0,664000000.0,116.12
2020-12-31,9848000000.0,6741000000.0,3107000000.0,778000000.0,2878000000.0,2418000000.0,5.34,3038000000.0,2878000000.0,451603000.0,1836000000.0,26278000000.0,28114000000.0,162660000000.0,190774000000.0,1405000000.0,113341000000.0,14948000000.0,17992000000.0,131333000000.0,59441000000.0,160000000.0,2544000000.0,-792000000.0,-353000000.0,-1848000000.0,153.92
2021-03-31,9971000000.0,6885000000.0,3086000000.0,744000000.0,2760000000.0,2300000000.0,5.1,2908000000.0,2760000000.0,450540000.0,1841000000.0,26689000000.0,28530000000.0,163447000000.0,191977000000.0,1405000000.0,115156000000.0,14879000000.0,17745000000.0,132901000000.0,59076000000.0,148000000.0,2105000000.0,-1252000000.0,-352000000.0,-812000000.0,157.97
2021-06-30,9664000000.0,6889000000.0,2775000000.0,775000000.0,2704000000.0,2265000000.0,5.06,2848000000.0,2704000000.0,445095000.0,1998000000.0,27648000000.0,29646000000.0,167528000000.0,197174000000.0,1405000000.0,118900000000.0,14954000000.0,18212000000.0,137112000000.0,60062000000.0,144000000.0,3122000000.0,-773000000.0,-351000000.0,-2210000000.0,158.94
2021-09-30,10845000000.0,8558000000.0,2287000000.0,806000000.0,2173000000.0,1833000000.0,4.18,2339000000.0,2173000000.0,435318000.0,1796000000.0,28577000000.0,30373000000.0,168681000000.0,179108000000.0,1406000000.0,122020000000.0,15603000000.0,17716000000.0,119790000000.0,59318000000.0,166000000.0,3322000000.0,-1726000000.0,-353000000.0,-1783000000.0,173.48
2021-12-31,10483000000.0,7265000000.0,3218000000.0,811000000.0,2671000000.0,2141000000.0,4.95,2832000000.0,2671000000.0,439968000.0,1811000000.0,28901000000.0,30712000000.0,169342000000.0,181753000000.0,2405000000.0,122643000000.0,15819000000.0,17697000000.0,122039000000.0,59714000000.0,161000000.0,2600000000.0,-2908000000.0,-345000000.0,396000000.0,193.31
2022-03-31,9669000000.0,6669000000.0,3000000000.0,778000000.0,2461000000.0,1974000000.0,4.64,2623000000.0,2461000000.0,425805000.0,1914000000.0,29421000000.0,31335000000.0,166655000000.0,176953000000.0,2880000000.0,124599000000.0,15363000000.0,16693000000.0,120255000000.0,56698000000.0,162000000.0,2440000000.0,-995000000.0,-341000000.0,-1302000000.0,213.9
2022-06-30,9941000000.0,7306000000.0,2635000000.0,818000000.0,1645000000.0,1215000000.0,2.88,1773000000.0,1645000000.0,421625000.0,7239000000.0,30740000000.0,37979000000.0,157672000000.0,174313000000.0,4885000000.0,127707000000.0,15080000000.0,16277000000.0,122646000000.0,51667000000.0,128000000.0,2720000000.0,2120000000.0,-340000000.0,583000000.0,196.58
2022-09-30,12130000000.0,9740000000.0,2390000000.0,883000000.0,1250000000.0,812000000.0,1.9500000000000002,1356000000.0,1250000000.0,416542000.0,2264000000.0,31904000000.0,34168000000.0,163943000000.0,175795000000.0,3892000000.0,134492000000.0,14838000000.0,15980000000.0,128156000000.0,47639000000.0,106000000.0,3432000000.0,-6327000000.0,-349000000.0,-2003000000.0,181.88
