,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-03-31,4000000000.0,4000000000.0,2224000000.0,908000000.0,690000000.0,1.3599999999999999,1033000000.0,908000000.0,508000000.0,1168000000.0,4562000000.0,6270000000.0,15109000000.0,21379000000.0,0.0,4122000000.0,5815000000.0,9236000000.0,13358000000.0,8021000000.0,125000000.0,-364000000.0,-57000000.0,-70000000.0,-195000000.0,294000000.0,82.59
2018-06-30,3734000000.0,3734000000.0,2135000000.0,691000000.0,531000000.0,1.05,813000000.0,691000000.0,507000000.0,1036000000.0,4601000000.0,6175000000.0,14984000000.0,21159000000.0,0.0,4216000000.0,5813000000.0,9146000000.0,13362000000.0,7797000000.0,122000000.0,777000000.0,-77000000.0,-209000000.0,-199000000.0,-526000000.0,81.97
2018-09-30,3504000000.0,3504000000.0,2083000000.0,541000000.0,276000000.0,0.55,665000000.0,541000000.0,504000000.0,951000000.0,4476000000.0,5966000000.0,15163000000.0,21129000000.0,0.0,4727000000.0,5512000000.0,8864000000.0,13591000000.0,7538000000.0,124000000.0,906000000.0,-85000000.0,-473000000.0,-215000000.0,-515000000.0,82.72
2018-12-31,3712000000.0,3712000000.0,2163000000.0,621000000.0,153000000.0,0.30000000000000004,744000000.0,621000000.0,506000000.0,1066000000.0,4317000000.0,5934000000.0,15644000000.0,21578000000.0,0.0,4924000000.0,5510000000.0,9070000000.0,13994000000.0,7584000000.0,123000000.0,1109000000.0,-92000000.0,-337000000.0,-228000000.0,-563000000.0,79.75
2019-03-31,4071000000.0,4071000000.0,2282000000.0,938000000.0,716000000.0,1.42,1063000000.0,938000000.0,505000000.0,1117000000.0,4630000000.0,12675000000.0,15837000000.0,30137000000.0,0.0,5739000000.0,11472000000.0,16412000000.0,22151000000.0,7986000000.0,125000000.0,-276000000.0,-72000000.0,-187000000.0,-214000000.0,6826000000.0,93.9
2019-06-30,4349000000.0,4349000000.0,2537000000.0,680000000.0,332000000.0,0.66,865000000.0,680000000.0,507000000.0,1294000000.0,5553000000.0,7526000000.0,22574000000.0,32116000000.0,0.0,6382000000.0,11459000000.0,17397000000.0,23779000000.0,8337000000.0,185000000.0,517000000.0,-87000000.0,-5243000000.0,-223000000.0,-1502000000.0,99.75
2019-09-30,3968000000.0,3968000000.0,2437000000.0,467000000.0,303000000.0,0.6000000000000001,637000000.0,467000000.0,506000000.0,1213000000.0,5198000000.0,7056000000.0,22084000000.0,31097000000.0,0.0,6204000000.0,11429000000.0,17096000000.0,23300000000.0,7797000000.0,170000000.0,1050000000.0,-121000000.0,-74000000.0,-236000000.0,-987000000.0,100.05
2019-12-31,4264000000.0,4264000000.0,2478000000.0,592000000.0,391000000.0,0.77,759000000.0,592000000.0,506000000.0,1155000000.0,5236000000.0,7068000000.0,22368000000.0,31357000000.0,1557000000.0,6679000000.0,10741000000.0,16735000000.0,23414000000.0,7943000000.0,167000000.0,1070000000.0,-141000000.0,1109000000.0,-233000000.0,-6000000.0,111.41
2020-03-31,4651000000.0,4651000000.0,2555000000.0,1070000000.0,754000000.0,1.49,1253000000.0,1070000000.0,505000000.0,1480000000.0,5558000000.0,7749000000.0,21757000000.0,31391000000.0,2743000000.0,6859000000.0,11231000000.0,17081000000.0,23940000000.0,7451000000.0,183000000.0,-638000000.0,-118000000.0,-245000000.0,-250000000.0,1340000000.0,86.46
2020-06-30,4189000000.0,4189000000.0,2429000000.0,885000000.0,572000000.0,1.13,1064000000.0,885000000.0,506000000.0,1711000000.0,5647000000.0,8097000000.0,22190000000.0,32169000000.0,1548000000.0,5928000000.0,11985000000.0,17849000000.0,23777000000.0,8392000000.0,179000000.0,1216000000.0,-82000000.0,-319000000.0,-238000000.0,-719000000.0,107.37
2020-09-30,3968000000.0,3968000000.0,2495000000.0,540000000.0,316000000.0,0.62,725000000.0,540000000.0,507000000.0,2388000000.0,5236000000.0,8312000000.0,22485000000.0,32681000000.0,1551000000.0,6530000000.0,11532000000.0,17399000000.0,23929000000.0,8752000000.0,185000000.0,1421000000.0,-78000000.0,-82000000.0,-240000000.0,-784000000.0,114.7
2020-12-31,4416000000.0,4416000000.0,2650000000.0,571000000.0,374000000.0,0.74,765000000.0,571000000.0,506000000.0,2089000000.0,5326000000.0,8155000000.0,23000000000.0,33049000000.0,859000000.0,6556000000.0,10796000000.0,17233000000.0,23789000000.0,9260000000.0,194000000.0,1383000000.0,-70000000.0,-147000000.0,-249000000.0,-762000000.0,117.0
2021-03-31,5083000000.0,5083000000.0,2807000000.0,1358000000.0,983000000.0,1.9300000000000002,1555000000.0,1358000000.0,509000000.0,1120000000.0,5597000000.0,7549000000.0,22900000000.0,32273000000.0,1357000000.0,6123000000.0,10242000000.0,16554000000.0,22677000000.0,9596000000.0,197000000.0,-408000000.0,-69000000.0,-67000000.0,-245000000.0,-261000000.0,121.8
2021-06-30,5017000000.0,5017000000.0,2860000000.0,1228000000.0,820000000.0,1.6099999999999999,1421000000.0,1228000000.0,508000000.0,888000000.0,5839000000.0,7573000000.0,23397000000.0,32953000000.0,858000000.0,5816000000.0,10257000000.0,16873000000.0,22689000000.0,10264000000.0,193000000.0,1158000000.0,-82000000.0,-357000000.0,-254000000.0,47000000.0,140.68
2021-09-30,4583000000.0,4583000000.0,2853000000.0,740000000.0,537000000.0,1.06,919000000.0,740000000.0,506000000.0,1398000000.0,5624000000.0,7877000000.0,23206000000.0,32982000000.0,855000000.0,6659000000.0,10228000000.0,16435000000.0,23094000000.0,9888000000.0,179000000.0,1324000000.0,-117000000.0,-148000000.0,-278000000.0,87000000.0,151.43
2021-12-31,5137000000.0,5137000000.0,2905000000.0,986000000.0,803000000.0,1.5899999999999999,1164000000.0,986000000.0,507000000.0,1752000000.0,5586000000.0,8264000000.0,24256000000.0,34388000000.0,349000000.0,6654000000.0,10933000000.0,16512000000.0,23166000000.0,11222000000.0,178000000.0,1442000000.0,-138000000.0,-592000000.0,-285000000.0,-1170000000.0,173.82
2022-03-31,5549000000.0,5549000000.0,3100000000.0,1445000000.0,1071000000.0,2.13,1625000000.0,1445000000.0,503000000.0,772000000.0,5963000000.0,7788000000.0,24075000000.0,33688000000.0,1522000000.0,6587000000.0,10552000000.0,15945000000.0,22532000000.0,11156000000.0,180000000.0,-702000000.0,-122000000.0,-159000000.0,-279000000.0,855000000.0,170.42
2022-06-30,5379000000.0,5379000000.0,3010000000.0,1364000000.0,967000000.0,1.9300000000000002,1532000000.0,1364000000.0,501000000.0,909000000.0,6286000000.0,8169000000.0,23527000000.0,33440000000.0,1625000000.0,7016000000.0,10487000000.0,15507000000.0,22523000000.0,10917000000.0,168000000.0,1282000000.0,-117000000.0,-99000000.0,-283000000.0,-357000000.0,155.25
2022-09-30,4770000000.0,4770000000.0,2923000000.0,791000000.0,546000000.0,1.1,960000000.0,791000000.0,498000000.0,802000000.0,5819000000.0,7574000000.0,22834000000.0,32023000000.0,1265000000.0,7292000000.0,10399000000.0,14940000000.0,22232000000.0,9791000000.0,169000000.0,1383000000.0,-128000000.0,-105000000.0,-298000000.0,-470000000.0,149.29
2022-12-31,5022000000.0,5022000000.0,3038000000.0,680000000.0,466000000.0,0.0,0.0,680000000.0,496000000.0,1442000000.0,5852000000.0,8299000000.0,23593000000.0,33454000000.0,0.0,7172000000.0,11227000000.0,15533000000.0,22705000000.0,10749000000.0,202000000.0,1502000000.0,-103000000.0,-487000000.0,-467000000.0,-1074000000.0,165.48
