,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2019-03-31,5239000000.0,953000000.0,4286000000.0,2767000000.0,1519000000.0,1197000000.0,2.62,455000000.0,20323000000.0,250610000000.0,142227000000.0,392837000000.0,0.0,284123000000.0,59860000000.0,60139000000.0,344262000000.0,48575000000.0,272000000.0,1401000000.0,-6023000000.0,-436000000.0,4076000000.0,122.66
2019-06-30,5214000000.0,999000000.0,4215000000.0,2791000000.0,1424000000.0,1306000000.0,2.89,451000000.0,23778000000.0,259416000000.0,146345000000.0,405761000000.0,0.0,287064000000.0,62476000000.0,69316000000.0,356380000000.0,49381000000.0,307000000.0,2243000000.0,-11460000000.0,-432000000.0,9571000000.0,137.28
2019-09-30,5241000000.0,999000000.0,4242000000.0,2806000000.0,1436000000.0,1315000000.0,2.95,444000000.0,24707000000.0,261218000000.0,147698000000.0,408916000000.0,0.0,297803000000.0,54522000000.0,61658000000.0,359461000000.0,49455000000.0,325000000.0,604000000.0,-3242000000.0,-518000000.0,2893000000.0,140.16
2019-12-31,4942000000.0,846000000.0,4096000000.0,2983000000.0,1113000000.0,466000000.0,2.98,447000000.0,28474000000.0,266658000000.0,143637000000.0,410295000000.0,0.0,300371000000.0,60263000000.0,60581000000.0,360952000000.0,49343000000.0,411000000.0,3115000000.0,-4265000000.0,-509000000.0,540000000.0,159.63
2020-03-31,5025000000.0,689000000.0,4336000000.0,3457000000.0,879000000.0,844000000.0,1.96,429000000.0,27479000000.0,289871000000.0,155622000000.0,445493000000.0,40100000000.0,322354000000.0,73399000000.0,73849000000.0,396203000000.0,49290000000.0,328000000.0,-696000000.0,-23379000000.0,-503000000.0,26507000000.0,95.72
2020-06-30,4404000000.0,328000000.0,4076000000.0,4978000000.0,-902000000.0,3592000000.0,8.4,426000000.0,56571000000.0,310322000000.0,148656000000.0,458978000000.0001,17400000000.0,358342000000.0,47026000000.0,47688000000.0,406030000000.0,52948000000.0,384000000.0,3027000000.0,-17858000000.0,-491000000.0,13676000000.0,105.21
2020-09-30,4473000000.0,192000000.0,4281000000.0,2583000000.0,1698000000.0,1455000000.0,3.4,426000000.0,77588000000.0,322903000000.0,138914000000.0,461817000000.0001,13100000000.0,365708000000.0,42110000000.0,42799000000.0,408507000000.0,53310000000.0,232000000.0,393000000.0,-3142000000.0,-494000000.0,3040000000.0,109.91
2020-12-31,4360000000.0,152000000.0,4208000000.0,2454000000.0,1754000000.0,-3175000000.0,3.26,427000000.0,92190000000.0,330354000000.0,136325000000.0,466679000000.0001,9622000000.0,374859000000.0,37195000000.0,37779000000.0,412638000000.0,54041000000.0,553000000.0,1935000000.0,-6743000000.0,-492000000.0,5196000000.0,149.0
2021-03-31,4355000000.0,135000000.0,4220000000.0,2023000000.0,2197000000.0,1758000000.0,4.11,426000000.0,93616000000.0,327882000000.0,146532000000.0,474414000000.0001,4550000000.0,386998000000.0,33030000000.0,33537000000.0,420535000000.0,53879000000.0,375000000.0,780000000.0,-6072000000.0,-493000000.0,5730000000.0,175.41
2021-06-30,4787000000.0,120000000.0,4667000000.0,3352000000.0,1315000000.0,1037000000.0,2.43,427000000.0,81171000000.0,372372000000.0,181840000000.0,554212000000.0001,3385000000.0,464069000000.0001,34813000000.0,35458000000.0,499527000000.0001,54685000000.0,419000000.0,1415000000.0,9022000000.0,-492000000.0,-9168000000.0,190.76
2021-09-30,5316000000.0,119000000.0,5197000000.0,3384000000.0,1813000000.0,1408000000.0,3.31,426000000.0,84321000000.0,371317000000.0,182198000000.0,553515000000.0001,3504000000.0,463101000000.0001,33471000000.0,34117000000.0,497218000000.0001,56297000000.0,421000000.0,1525000000.0,3312000000.0,-538000000.0,-4718000000.0,195.64
2021-12-31,5240000000.0,113000000.0,5127000000.0,3464000000.0,1663000000.0,1206000000.0,2.87,426000000.0,82254000000.0,367989000000.0,189202000000.0,557191000000.0001,8998000000.0,470019000000.0001,30784000000.0,31446000000.0,501465000000.0001,55726000000.0,558000000.0,3494000000.0,-9057000000.0,-533000000.0,4724000000.0,200.52
2022-03-31,4802000000.0,110000000.0,4692000000.0,2964000000.0,1728000000.0,1361000000.0,3.23,420000000.0,56348000000.0,347753000000.0,193493000000.0,541246000000.0001,4999000000.0,464820000000.0001,26571000000.0,27210000000.0,492030000000.0001,49216000000.0,385000000.0,-989000000.0,12707000000.0,-531000000.0,-12150000000.0,184.45
2022-06-30,5346000000.0,230000000.0,5116000000.0,3280000000.0,1836000000.0,1402000000.0,3.39,414000000.0,36986000000.0,344515000000.0,196271000000.0,540786000000.0001,5539000000.0,456433000000.0001,35984000000.0,36665000000.0,493098000000.0001,47688000000.0,144000000.0,2632000000.0,-1690000000.0,-626000000.0,68000000.0,157.77
2022-09-30,6206000000.0,657000000.0,5549000000.0,3521000000.0,2028000000.0,1550000000.0,3.7800000000000002,410000000.0,46826000000.0,358771000000.0,200706000000.0,559477000000.0001,5315000000.0,457439000000.0001,54633000000.0,55315000000.0,512754000000.0001,46723000000.0,58000000.0,3394000000.0,-21690000000.0,-622000000.0,16262000000.0,149.42
2022-12-31,7188000000.0,1425000000.0,5763000000.0,3882000000.0,1881000000.0,1407000000.0,0.0,404000000.0,34363000000.0,356657000000.0,200606000000.0,557263000000.0001,0.0,452044000000.0001,58713000000.0,59407000000.0,511451000000.0001,45812000000.0,0.0,0.0,0.0,1779000000.0,0.0,157.94
