,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-03-31,253305000.0,82766000.0,170539000.0,11759000.0,118313000.0,80801000.0,0.30000000000000004,228140000.0,118313000.0,267546000.0,753431000.0,792900000.0,6916148000.0,7709048000.0,0.0,136034000.0,3680673000.0,4687236000.0,4823270000.0,2885778000.0,109827000.0,132256000.0,-78916000.0,-24586000.0,-91041000.0,-108647000.0,35.62
2018-06-30,259743000.0,83241000.0,176502000.0,12373000.0,55179000.0,19630000.0,0.07,163383000.0,55179000.0,267311000.0,770822000.0,811530900.0,6895827000.0,7707358000.0,0.0,134517000.0,3752112000.0,4804091000.0,4938608000.0,2768750000.0,108204000.0,122845000.0,-75372000.0,-86669000.0,-94456000.0,-26117000.0,37.54
2018-09-30,266144000.0,88996000.0,177148000.0,11896000.0,55011000.0,17639000.0,0.07,164574000.0,55011000.0,267727000.0,795456000.0,836465000.0,6842319000.0,7678784000.0,0.0,140143000.0,3811180000.0,4931178000.0,5071321000.0,2607463000.0,109563000.0,151623000.0,-61226000.0,-91851000.0,-94483000.0,-62604000.0,40.43
2018-12-31,267666900.0,88552000.0,179114900.0,10955000.0,126214900.0,81168000.0,0.30000000000000004,234299900.0,126214900.0,268179000.0,989760000.0,1032019000.0,6679709000.0,7711728000.0,0.0,135698000.0,3547787000.0,4653253000.0,4788951000.0,2922777000.0,108085000.0,153952000.0,-51933000.0,89558000.0,-94718000.0,-62699000.0,39.62
2019-03-31,270673000.0,91588000.0,179085000.0,12467000.0,52494000.0,23492000.0,0.08,166618000.0,52494000.0,277002000.0,773254000.0,810228000.0,7051352000.0,7955725000.0,0.0,121936000.0,3589829000.0,4783207000.0,4993361000.0,2962364000.0,114124000.0,137333000.0,-40847000.0,-459749000.0,-97464000.0,137679000.0,45.46
2019-06-30,281308000.0,89469000.0,191839000.0,12338000.0,64925000.0,34588000.0,0.12,184537000.0,64925000.0,281960000.0,793023000.0,830517000.0,7272810000.0,8197266000.0,0.0,129198000.0,3870589000.0,5011954000.0,5229251000.0,2968015000.0,119612000.0,149088000.0,-46873000.0,-346244000.0,-104764000.0,197025000.0,44.89
2019-09-30,295394000.0,96419000.0,198975000.0,12197000.0,58856000.0,26173000.0,0.09,187866000.0,58856000.0,288706000.0,814721000.0,852620000.0,7709088000.0,8697597000.0,0.0,142288000.0,3935897000.0,5153399000.0,5425822000.0,3271775000.0,129010000.0,170455000.0,-56247000.0,-576809000.0,-105245000.0,405872000.0,48.48
2019-12-31,304818000.0,99012000.0,205806000.0,14531000.0,44782000.0,96608000.0,0.33,189959000.0,44781900.0,285247000.0,621553000.0,775203000.0,8657044000.0,9636472000.0,473000000.0,164676000.0,4707524000.0,5883924000.0,6247158000.0,3389314000.0,145177000.0,173828000.0,-65781000.0,-303885000.0,-107186000.0,139807000.0,46.7
2020-03-31,321481000.0,108797000.0,212684000.0,14978000.0,38954000.0,4155000.0,0.01,196455000.0,38954000.0,294457000.0,22929000.0,174472000.0,9313224000.0,9691105000.0,328000000.0,146882000.0,4885138000.0,5868004000.0,6212715000.0,3478390000.0,157501000.0,135456000.0,-58549000.0,-214044000.0,-108548000.0,68226000.0,36.54
2020-06-30,307256000.0,108626000.0,198630000.0,10971000.0,91777000.0,56709000.0,0.19,248860000.0,91777000.0,294710000.0,620934000.0,776890000.0,8584995000.0,9564471000.0,269000000.0,190303000.0,4766804000.0,5762131000.0,6149526000.0,3414945000.0,157083000.0,181559000.0,-75902000.0,52150000.0,-114329000.0,-233762000.0,37.38
2020-09-30,310044000.0,112135000.0,197909000.0,11958000.0,30115000.0,-26309000.0,-0.09,185951000.0,30115000.0,294713000.0,670555000.0,827551000.0,8522083000.0,9551388000.0,231000000.0,182042000.0,4917646000.0,5839548000.0,6217936000.0,3333452000.0,155836000.0,139577000.0,-70412000.0,-130837000.0,-114362000.0,-7416000.0,32.61
2020-12-31,302384000.0,111136000.0,191248000.0,11978000.0,88257000.0,25481000.0,0.09,236466000.0,88257000.0,294545000.0,624404000.0,782396000.0,8654225000.0,9637533000.0,191000000.0,185705000.0,4976548000.0,5997645000.0,6378942000.0,3258591000.0,148209000.0,147724000.0,-90490000.0,-168111000.0,-114149000.0,20358000.0,38.43
2021-03-31,301441000.0,112198000.0,189243000.0,12736000.0,75070000.0,2048000.0,0.01,221759000.0,75070000.0,296537000.0,654711000.0,809917000.0,8556575000.0,9566556000.0,211000000.0,159804000.0,5041175000.0,6195522000.0,6550155000.0,3016401000.0,146689000.0,123605000.0,-64148000.0,41039000.0,-115350000.0,-154215000.0,43.86
2021-06-30,311348000.0,114126000.0,197222000.0,15127000.0,35787000.0,10663000.0,0.04,184558000.0,35787000.0,296589000.0,655242000.0,794289000.0,8925775000.0,9919271000.0,471000000.0,197087000.0,5452107000.0,6722953000.0,7114098000.0,2805173000.0,148771000.0,206552000.0,-83624000.0,-355776000.0,-115982000.0,150694000.0,48.98
2021-09-30,329770000.0,123317000.0,206453000.0,15810000.0,33170000.0,16673000.0,0.06,189075000.0,33170000.0,297828000.0,673134900.0,698876000.0,9503350000.0,10400560000.0,315000000.0,196124000.0,5522439000.0,6887623000.0,7277024000.0,3123540000.0,155905000.0,153012000.0,-93570000.0,-606538000.0,-115984000.0,446689000.0,52.98
2021-12-31,348207900.0,128088000.0,220119900.0,13868000.0,123940900.0,116403000.0,0.38,292408900.0,123940900.0,300326000.0,730879000.0,757739000.0,9820018000.0,10775220000.0,761000000.0,216029000.0,5412787000.0,6892399000.0,7300916000.0,3474304000.0,168468000.0,180791000.0,-103211000.0,-350978000.0,-120127000.0,169372000.0,59.99
2022-03-31,357266000.0,128536000.0,228730000.0,14908000.0,47890100.0,12613000.0,0.04,214587100.0,47890100.0,318009000.0,26927000.0,53504000.0,10434880000.0,10684960000.0,281000000.0,175848000.0,5479010000.0,6924544000.0,7292081000.0,3392883000.0,166697000.0,161020000.0,-101047000.0,-86811000.0,-123267000.0,-75700000.0,57.37
2022-06-30,369167000.0,130172000.0,238995000.0,16585000.0,50736000.0,3975000.0,0.01,221336000.0,50736000.0,318351000.0,720553000.0,758101000.0,10043130000.0,10996990000.0,326000000.0,219803000.0,5517234000.0,6716668000.0,7127352000.0,3869634000.0,170600000.0,237067000.0,-104986000.0,-488272000.0,-130208000.0,252967000.0,46.04
2022-09-30,391297000.0,141426000.0,249871000.0,15840000.0,62919000.0,22499000.0,0.07,233130000.0,62919000.0,324701000.0,791012000.0,831140000.0,10071900000.0,11097960000.0,425000000.0,223223000.0,5626362000.0,6733707000.0,7146994000.0,3950968000.0,170211000.0,204551000.0,-110726000.0,-263576000.0,-132062000.0,60231000.0,41.71
