,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2018-03-31,1283955000.0,828236000.0,455719000.0,15312000.0,238656000.0,137276000.0,0.3367,265392000.0,238656000.0,407540000.0,680891000.0,7101664000.0,7782555000.0,24349400000.0,32131960000.0,17763700000.0,3138102000.0,4363771000.0,22127480000.0,10004480000.0,26736000.0,400180000.0,-4240000.0,-57914000.0,-4497000.0,-338905000.0,28.53,0
2018-06-30,1410809000.0,928991000.0,481817900.0,22512000.0,256653000.0,233243000.0,0.58,283124900.0,256653000.0,404800400.0,526628000.0,7281407000.0,7808035000.0,24045080000.0,31853120000.0,17713280000.0,2899031000.0,4114931000.0,21828210000.0,10024910000.0,26472000.0,96706000.0,-9002000.0,160313000.0,-4497000.0,-394124000.0,26.46,0
2018-09-30,1403784000.0,901022000.0,502762100.0,14335000.0,301014000.0,217006000.0,0.54,327329000.0,301014000.0,402939100.0,651037000.0,7415122000.0,8066159000.0,24186370000.0,32252530000.0,17894900000.0,2850433000.0,4125728000.0,22020630000.0,10231900000.0,26315000.0,624101000.0,-5808000.0,-492482000.0,-4497000.0,-3715000.0,29.81,0
2018-12-31,1352020000.0,1036992000.0,315027700.0,26835000.0,96530800.0,126091100.0,0.31,122677800.0,96531000.0,404348000.0,646556000.0,7309349000.0,7955905000.0,24262420000.0,32218330000.0,18079150000.0,2553369000.0,3907791000.0,21986940000.0,10231390000.0,26147000.0,438335000.0,-10759000.0,-163937000.0,-4498000.0,-252066000.0,26.72,0
2019-03-31,1722846000.0,916380000.0,806465900.0,17962000.0,566924000.0,438125000.0,1.09,587340900.0,566924000.0,400184000.0,633100000.0,8206788000.0,8839888000.0,25137150000.0,33977040000.0,18586940000.0,3013686000.0,4437422000.0,23024360000.0,10952680000.0,20417000.0,235398000.0,-9423000.0,-294793000.0,-4497000.0,41519000.0,32.32,0
2019-06-30,1779140000.0,977632000.0,801508000.0,18251000.0,564549000.0,458551000.0,1.1400000000000001,584343000.0,564549000.0,401482800.0,605316000.0,8181161000.0,8786478000.0,26065190000.0,34851670000.0,18921710000.0,2969292000.0,4317261000.0,23238970000.0,11612700000.0,19794000.0,477126000.0,-6936000.0,-452151000.0,-4497000.0,-50604000.0,37.08,0
2019-09-30,1682660000.0,1013575000.0,669085000.0,17061000.0,435509000.0,382050000.0,0.9500000000000001,455512000.0,435509000.0,402564000.0,880099000.0,8099938000.0,8980036000.0,26592570000.0,35572600000.0,19329330000.0,2968491000.0,4230253000.0,23559580000.0,12013020000.0,20003000.0,830615000.0,-11276000.0,-503532000.0,-2414000.0,-37411000.0,41.98,0
2019-12-31,1741321000.0,1066810000.0,674510600.0,26837000.0,421375600.0,315981000.0,0.78,443265600.0,421376000.0,401803000.0,726230000.0,9503809000.0,10230040000.0,27655320000.0,37885360000.0,21017920000.0,2831858000.0,4607290000.0,25625210000.0,12260150000.0,21890000.0,505320000.0,-10202000.0,-556007000.0,-1107000.0,-34166000.0,42.89,0
2020-03-31,1525312000.0,1362702000.0,162610100.0,20796000.0,-109360800.0,133714000.0,0.33,-92729800.0,-109360800.0,403892000.0,882284000.0,10177920000.0,11060200000.0,27355920000.0,38416130000.0,22014130000.0,2882089000.0,4541967000.0,26556100000.0,11860030000.0,16631000.0,610454000.0,-8470000.0,-278496000.0,-1181000.0,-134496000.0,28.46,0
2020-06-30,2295008000.0,1485311000.0,809697000.0,17920000.0,566038900.0,288418000.0,0.72,582528000.0,566038900.0,402504000.0,854259000.0,10278270000.0,11132530000.0,30067120000.0,41199650000.0,22851200000.0,3945360000.0,5677534000.0,28528740000.0,12670910000.0,16489000.0,711126000.0,-9217000.0,-1531694000.0,-1359000.0,805833000.0,28.65,0
2020-09-30,2312251000.0,1464215000.0,848036000.0,17937000.0,597698000.0,408636000.0,1.01,614413000.0,597698000.0,402850000.0,976398000.0,10641740000.0,11618130000.0,31097900000.0,42716040000.0,24027160000.0,3517985000.0,5478958000.0,29506120000.0,13209920000.0,16715000.0,1009870000.0,-9030000.0,-798228000.0,-1001000.0,-105247000.0,29.25,0
2020-12-31,2375938000.0,1382213000.0,993724500.0,25335000.0,733496800.0,533141100.0,1.32,752692800.0,733496900.0,403062000.0,906448000.0,9879130000.0,10785580000.0,32496720000.0,43282300000.0,24031720000.0,3536668000.0,5321686000.0,29353400000.0,13928890000.0,19196000.0,555055000.0,-13155000.0,-434808000.0,-1404000.0,-44812000.0,36.07,0
2021-03-31,2265794000.0,1507581000.0,758213000.0,25384000.0,457394000.0,427753000.0,1.07,471796100.0,457394000.0,400808000.0,941951000.0,10184820000.0,11126770000.0,33077500000.0,44204270000.0,24837710000.0,3547443000.0,5393219000.0,30230930000.0,13973340000.0,14402000.0,762845000.0,-12490000.0,-493189000.0,-948000.0,-186602000.0,38.37,0
2021-06-30,2569996000.0,1494974000.0,1075022000.0,15951000.0,798841900.0,663820000.0,1.67,814127900.0,798841900.0,397743000.0,1234059000.0,10914370000.0,12148430000.0,34333460000.0,46481890000.0,26174540000.0,3776405000.0,5402399000.0,31576940000.0,14904950000.0,15286000.0,849727000.0,-11095000.0,-600489000.0,-959000.0,209017000.0,38.94,0
2021-09-30,2101204000.0,1532034000.0,569170000.0,19672000.0,298531000.0,388751000.0,1.0,318666000.0,298531000.0,389274200.0,1137721000.0,11900490000.0,13038210000.0,31745520000.0,44783730000.0,26728560000.0,3081680000.0,4667646000.0,31396210000.0,13387530000.0,20135000.0,1014979000.0,-10822000.0,-359606000.0,0.0,-904294000.0,38.18,0
2021-12-31,2312986000.0,1353392000.0,959594200.0,18150000.0,646524900.0,613081000.0,1.62,679656900.0,646525000.0,391749000.0,858668000.0,12132340000.0,12991010000.0,32109940000.0,45100950000.0,27184480000.0,2789244000.0,4370571000.0,31555050000.0,13545900000.0,33132000.0,800004000.0,-6987000.0,-686448000.0,0.0,-347670000.0,44.45,0
2022-03-31,1941832000.0,1378994000.0,562838000.0,32332000.0,213396000.0,185616000.0,0.5,240563000.0,213396000.0,374244000.0,812917000.0,13043300000.0,13856210000.0,31821730000.0,45677940000.0,28171720000.0,2901094000.0,4586630000.0,32758350000.0,12919590000.0,27167000.0,551563000.0,-11770000.0,-312719000.0,0.0,-233573000.0,48.42,0
2022-06-30,2214842000.0,1515975000.0,698867100.0,27620000.0,366648100.0,394160000.0,1.07,393855100.0,366648100.0,369241000.0,813548000.0,13611960000.0,14425500000.0,31293690000.0,45719200000.0,28735340000.0,3017002000.0,4566284000.0,33301630000.0,12417570000.0,27207000.0,902405000.0,-12060000.0,-502883000.0,0.0,-448543000.0,45.49,0
2022-09-30,2386249000.0,2130283000.0,255966100.0,17710000.0,-62595000.0,6917000.0,0.02,-36491000.0,-62595000.0,365190500.0,813583000.0,13814150000.0,14627730000.0,31709370000.0,46337110000.0,29967250000.0,2899922000.0,4574743000.0,34542000000.0,11795110000.0,26104000.0,1379749000.0,-14553000.0,-1291119000.0,0.0,-21761000.0,45.54,0
