,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2018-03-31,55188000000.0,42047000000.0,13141000000.0,4053000000.0,2836000000.0,2.87,4635000000.0,4053000000.0,966000000.0,22041000000.0,18290000000.0,48353000000.0,107216000000.0,155569000000.0,67667000000.0,28206000000.0,37866000000.0,105533000000.0,50036000000.0,582000000.0,8369000000.0,-477000000.0,-4517000000.0,-722000000.0,2422000000.0,214.0,0
2018-06-30,56086000000.0,42898000000.0,13188000000.0,4204000000.0,2922000000.0,2.98,4802000000.0,4204000000.0,961000000.0,21860000000.0,17646000000.0,46634000000.0,107977000000.0,154611000000.0,62052000000.0,32096000000.0,41776000000.0,103828000000.0,50783000000.0,598000000.0,4007000000.0,-483000000.0,-2181000000.0,-866000000.0,-1635000000.0,245.34,0
2018-09-30,56556000000.0,42876000000.0,13680000000.0,4590000000.0,3188000000.0,3.24,5201000000.0,4590000000.0,962000000.0,13849000000.0,18262000000.0,38754000000.0,112333000000.0,151087000000.0,56377000000.0,32053000000.0,42114000000.0,98491000000.0,52596000000.0,611000000.0,941000000.0,-545000000.0,-4547000000.0,-866000000.0,-4480000000.0,266.04,0
2018-12-31,58417000000.0,44580000000.0,13837000000.0,4497000000.0,3040000000.0,3.1,5134000000.0,4497000000.0,963000000.0,14324000000.0,18250000000.0,38692000000.0,113529000000.0,152221000000.0,53209000000.0,34581000000.0,44693000000.0,97902000000.0,54319000000.0,637000000.0,2396000000.0,-558000000.0,-1140000000.0,-866000000.0,-672000000.0,249.12,0
2019-03-31,60308000000.0,46320000000.0,13988000000.0,4832000000.0,3467000000.0,3.56,5471000000.0,4832000000.0,958000000.0,15710000000.0,20457000000.0,42815000000.0,118382000000.0,161197000000.0,58933000000.0,34419000000.0,47813000000.0,106746000000.0,54451000000.0,639000000.0,3234000000.0,-562000000.0,-1416000000.0,-860000000.0,-272000000.0,247.26,0
2019-06-30,60595000000.0,46782000000.0,13813000000.0,4744000000.0,3293000000.0,3.42,5398000000.0,4744000000.0,950000000.0,17269000000.0,18175000000.0,42038000000.0,125162000000.0,167200000000.0,62328000000.0,34473000000.0,49018000000.0,111346000000.0,55854000000.0,654000000.0,5874000000.0,-415000000.0,-5462000000.0,-1024000000.0,915000000.0,244.01,0
2019-09-30,60351000000.0,45668000000.0,14683000000.0,5014000000.0,3538000000.0,3.67,5723000000.0,5014000000.0,949000000.0,15818000000.0,21116000000.0,43541000000.0,130168000000.0,173709000000.0,62641000000.0,38507000000.0,53312000000.0,115953000000.0,57756000000.0,709000000.0,3150000000.0,-444000000.0,-4433000000.0,-1024000000.0,-56000000.0,217.32,0
2019-12-31,60901000000.0,45787000000.0,15114000000.0,5095000000.0,3541000000.0,3.68,5813000000.0,5095000000.0,951000000.0,14245000000.0,21462000000.0,42634000000.0,131255000000.0,173889000000.0,61782000000.0,36808000000.0,51671000000.0,113453000000.0,60436000000.0,718000000.0,6205000000.0,-650000000.0,-1388000000.0,-1024000000.0,-6212000000.0,293.98,0
2020-03-31,64421000000.0,48687000000.0,15734000000.0,4996000000.0,3382000000.0,3.52,5719000000.0,4996000000.0,949000000.0,24445000000.0,24888000000.0,58807000000.0,130260000000.0,189067000000.0,78606000000.0,35779000000.0,50598000000.0,129204000000.0,59863000000.0,723000000.0,2943000000.0,-469000000.0,-1533000000.0,-1024000000.0,9303000000.0,249.38,0
2020-06-30,62138000000.0,42179000000.0,19959000000.0,9241000000.0,6637000000.0,6.91,9958000000.0,9241000000.0,949000000.0,25593000000.0,23976000000.0,58918000000.0,133565000000.0,192483000000.0,69883000000.0,39901000000.0,56085000000.0,125968000000.0,66515000000.0,717000000.0,10003000000.0,-451000000.0,-2952000000.0,-1188000000.0,-6279000000.0,294.95,0
2020-09-30,65115000000.0,49571000000.0,15544000000.0,4651000000.0,3172000000.0,3.3,5370000000.0,4651000000.0,950000000.0,20809000000.0,25402000000.0,54821000000.0,136148000000.0,190969000000.0,66597000000.0,39895000000.0,56268000000.0,122865000000.0,68104000000.0,719000000.0,3127000000.0,-557000000.0,-2869000000.0,-1188000000.0,-5018000000.0,311.77,0
2020-12-31,65467000000.0,49704000000.0,15763000000.0,3517000000.0,2212000000.0,2.3,4249000000.0,3517000000.0,949000000.0,19781000000.0,25404000000.0,53718000000.0,143571000000.0,197289000000.0,72420000000.0,38648000000.0,56541000000.0,128961000000.0,68328000000.0,732000000.0,6101000000.0,-574000000.0,-5178000000.0,-1184000000.0,-1596000000.0,350.68,0
2021-03-31,70196000000.0,52476000000.0,17720000000.0,6739000000.0,4862000000.0,5.08,7497000000.0,6739000000.0,945000000.0,22917000000.0,27526000000.0,59508000000.0,145663000000.0,205171000000.0,80641000000.0,37420000000.0,55217000000.0,135858000000.0,69313000000.0,758000000.0,6005000000.0,-568000000.0,-3707000000.0,-1181000000.0,787000000.0,372.07,0
2021-06-30,71321000000.0,54206000000.0,17115000000.0,5978000000.0,4266000000.0,4.46,6756000000.0,5978000000.0,944000000.0,22561000000.0,27217000000.0,58916000000.0,151376000000.0,210292000000.0,76557000000.0,44348000000.0,61713000000.0,138270000000.0,72022000000.0,778000000.0,5540000000.0,-562000000.0,-5502000000.0,-1367000000.0,-218000000.0,400.44,0
2021-09-30,72337000000.0,55104000000.0,17233000000.0,5712000000.0,4086000000.0,4.28,6508000000.0,5712000000.0,943000000.0,23871000000.0,28232000000.0,61610000000.0,151435000000.0,213045000000.0,79575000000.0,43345000000.0,60211000000.0,139786000000.0,73259000000.0,796000000.0,7580000000.0,-629000000.0,-1879000000.0,-1367000000.0,-4397000000.0,390.74,0
2021-12-31,73743000000.0,56159000000.0,17584000000.0,5541000000.0,4071000000.0,4.26,6312000000.0,5541000000.0,943000000.0,23907000000.0,28082000000.0,61758000000.0,150448000000.0,212206000000.0,78292000000.0,42383000000.0,58869000000.0,137161000000.0,75045000000.0,771000000.0,3218000000.0,-695000000.0,716000000.0,-1365000000.0,-3627000000.0,502.14,0
2022-03-31,80149000000.0,61010000000.0,19139000000.0,6950000000.0,5027000000.0,5.27,7738000000.0,6950000000.0,941000000.0,28396000000.0,30865000000.0,69029000000.0,152209000000.0,221238000000.0,88170000000.0,40796000000.0,56940000000.0,145110000000.0,76128000000.0,788000000.0,5319000000.0,-555000000.0,-3673000000.0,-1363000000.0,2304000000.0,509.97,0
2022-06-30,80332000000.0,60689000000.0,19643000000.0,7132000000.0,5070000000.0,5.34,7934000000.0,7132000000.0,937000000.0,27964000000.0,31157000000.0,68356000000.0,161816000000.0,230172000000.0,88698000000.0,45799000000.0,65269000000.0,153967000000.0,76205000000.0,802000000.0,6871000000.0,-657000000.0,-8587000000.0,-1545000000.0,946000000.0,513.63,0
2022-09-30,80894000000.0,60941000000.0,19953000000.0,7462000000.0,5262000000.0,5.55,8290000000.0,7462000000.0,935000000.0,42527000000.0,30731000000.0,82937000000.0,160127000000.0,243064000000.0,100935000000.0,45438000000.0,64065000000.0,165000000000.0,78064000000.0,828000000.0,18549000000.0,-724000000.0,-847000000.0,-1542000000.0,-3416000000.0,505.04,0
2022-12-31,82787000000.0,61905000000.0,82787000000.0,6891000000.0,4761000000.0,5.03,0.0,6891000000.0,946520874.751491,27911000000.0,17681000000.0,27911000000.0,132908000000.0,245705000000.0,89237000000.0,54513000000.0,75018000000.0,164255000000.0,81450000000.0,982000000.0,-4533000000.0,-866000000.0,-15369000000.0,-1541000000.0,4392000000.0,530.18,0
