,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2019-12-31,34320000000.0,5761000000.0,28559000000.0,17673000000.0,10886000000.0,8091000000.0,2.58,3221500000.0,882475000000.0001,1939833000000.0,747546000000.0001,2687379000000.0,0.0,2116710000000.0,291498000000.0,309339000000.0,2426049000000.0,261330000000.0,2139000000.0,82811000000.0,-15558000000.0,-3287000000.0,-63019000000.0,139.4
2020-03-31,33008000000.0,4722000000.0,28286000000.0,25076000000.0,3210000000.0,2431000000.0,0.79,3095800000.0,1164694000000.0,2278889000000.0,860542000000.0001,3139431000000.0,285116000000.0,2559195000000.0,299344000000.0,318974000000.0,2878169000000.0,261262000000.0,2197000000.0,-120089000000.0,-135833000000.0,-3188000000.0,362305000000.0,90.03
2020-06-30,35334000000.0,2259000000.0,33075000000.0,27415000000.0,5660000000.0,4265000000.0,1.3900000000000001,3076300000.0,1276751000000.0,2295437000000.0,917678000000.0,3213115000000.0,283661000000.0,2610818000000.0,317003000000.0,337831000000.0,2948649000000.0,264466000000.0,2149000000.0,82919000000.0,-47646000000.0,-3154000000.0,89131000000.0,94.06
2020-09-30,30942000000.0,1687000000.0,29255000000.0,17486000000.0,11769000000.0,9015000000.0,2.93,3077800000.0,1313193000000.0,2349064000000.0,897012000000.0001,3246076000000.0,278432000000.0,2676597000000.0,279175000000.0,298366000000.0,2974963000000.0,271113000000.0,2141000000.0,-14688000000.0,-14727000000.0,-3209000000.0,19251000000.0,96.27
2020-12-31,30627000000.0,1292000000.0,29335000000.0,14159000000.0,15176000000.0,11699000000.0,3.8,3082400000.0,1327019000000.0,2402047000000.0,982710000000.0,3384757000000.0,288957000000.0,2806140000000.0,281685000000.0,299263000000.0,3105403000000.0,279354000000.0,2127000000.0,-28052000000.0,-63706000000.0,-3139000000.0,125958000000.0,127.07
2021-03-31,33648000000.0,1382000000.0,32266000000.0,14569000000.0,17697000000.0,13851000000.0,4.51,3073500000.0,1527605000000.0,2630665000000.0,1058671000000.0,3689336000000.0,358997000000.0,3113524000000.0,279427000000.0,295098000000.0,3408622000000.0,280714000000.0,2070000000.0,-43872000000.0,15391000000.0,-3193000000.0,218911000000.0,152.23
2021-06-30,31832000000.0,1353000000.0,30479000000.0,15382000000.0,15097000000.0,11496000000.0,3.79,3036600000.0,1486996000000.0,2633703000000.0,1050553000000.0,3684256000000.0,297375000000.0,3083541000000.0,299926000000.0,314329000000.0,3397870000000.0,286386000000.0,2003000000.0,13530000000.0,17698000000.0,-3121000000.0,-37943000000.0,155.54
2021-09-30,31047000000.0,1400000000.0,29647000000.0,15536000000.0,14111000000.0,11229000000.0,3.74,2999900000.0,1557931000000.0,2700791000000.0,1056785000000.0,3757576000000.0,305313000000.0,3155813000000.0,298465000000.0,311722000000.0,3467535000000.0,290041000000.0,1928000000.0,23331000000.0,-62275000000.0,-3158000000.0,97047000000.0,163.69
2021-12-31,30675000000.0,1418000000.0,29257000000.0,16600000000.0,12657000000.0,9927000000.0,3.33,3021500000.0,1436107000000.0,2600005000000.0,1143562000000.0,3743567000000.0,272282000000.0,3137685000000.0,301005000000.0,311755000000.0,3449440000000.0,294127000000.0,1931000000.0,2507000000.0,-17570000000.0,-3386000000.0,-2022000000.0,158.35
2022-03-31,32341000000.0,1624000000.0,30717000000.0,20654000000.0,10063000000.0,7845000000.0,2.64,2977000000.0,1567935000000.0,2776235000000.0,1178452000000.0,3954687000000.0,281444000000.0,3365405000000.0,293239000000.0,303383000000.0,3668788000000.0,285899000000.0,1820000000.0,58979000000.0,-173504000000.0,-3430000000.0,132772000000.0,136.32
2022-06-30,34233000000.0,3518000000.0,30715000000.0,19850000000.0,10865000000.0,8195000000.0,2.77,2962200000.0,1456993000000.0,2688840000000.0,1152474000000.0,3841314000000.0,281141000000.0,3256319000000.0,288212000000.0,298852000000.0,3555171000000.0,286143000000.0,1789000000.0,1652000000.0,11163000000.0,-3344000000.0,-83802000000.0,112.61
2022-09-30,40809000000.0,8093000000.0,32716000000.0,20715000000.0,12001000000.0,9255000000.0,3.13,2961200000.0,1452552000000.0,2690905000000.0,1082979000000.0,3773884000000.0,287805000000.0,3186314000000.0,287473000000.0,299552000000.0,3485866000000.0,288018000000.0,1771000000.0,29094000000.0,-7776000000.0,-3412000000.0,-32883000000.0,104.5
2022-12-31,47409000000.0,12862000000.0,34547000000.0,21310000000.0,13237000000.0,10598000000.0,0.0,2962900000.0,1336625000000.0,2577735000000.0,1088008000000.0,3665743000000.0,0.0,3064936000000.0,295865000000.0,308475000000.0,3373411000000.0,292332000000.0,0.0,0.0,0.0,10186000000.0,0.0,134.1
