,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-06-30,2712000000.0,2712000000.0,1716000000.0,-485000000.0,-539000000.0,-4.31,-174000000.0,-223000000.0,125000000.0,7703000000.0,7295000000.0,14998000000.0,139904000000.0,154902000000.0,200000000.0,17920000000.0,4324000000.0,130482000000.0,148402000000.0,6500000000.0,49000000.0,-190000000.0,-33000000.0,-856000000.0,-128000000.0,-511000000.0,150.04
2020-09-30,3003000000.0,3003000000.0,1791000000.0,-147000000.0,-140000000.0,-1.1400000000000001,77000000.0,23000000.0,123000000.0,7668000000.0,7392000000.0,15060000000.0,143627000000.0,158687000000.0,200000000.0,18788000000.0,4734000000.0,133832000000.0,152620000000.0,6067000000.0,54000000.0,936000000.0,-45000000.0,-1525000000.0,-125000000.0,676000000.0,154.11
2020-12-31,3183000000.0,3183000000.0,1924000000.0,228000000.0,177000000.0,1.46,406000000.0,349000000.0,123800000.0,6845000000.0,7835000000.0,14680000000.0,151203000000.0,165883000000.0,264000000.0,19839000000.0,4744000000.0,140177000000.0,160016000000.0,5867000000.0,57000000.0,-1016000000.0,-40000000.0,-473000000.0,-122000000.0,159000000.0,194.33
2021-03-31,3350000000.0,3350000000.0,1998000000.0,535000000.0,437000000.0,3.65,754000000.0,694000000.0,119800000.0,5787000000.0,8055000000.0,13842000000.0,151895000000.0,165737000000.0,200000000.0,19651000000.0,5505000000.0,140584000000.0,160235000000.0,5502000000.0,60000000.0,-1000000000.0,-22000000.0,-809000000.0,-129000000.0,433000000.0,232.45
2021-06-30,3418000000.0,3418000000.0,2063000000.0,764000000.0,591000000.0,4.99,948000000.0,888000000.0,118400000.0,7216000000.0,8078000000.0,15294000000.0,156409000000.0,171703000000.0,200000000.0,20030000000.0,5391000000.0,145987000000.0,166017000000.0,5686000000.0,60000000.0,1931000000.0,-33000000.0,-100000000.0,-126000000.0,-534000000.0,248.88
2021-09-30,2935000000.0,2903000000.0,2107000000.0,1334000000.0,1031000000.0,8.65,1481000000.0,1506000000.0,116000000.0,7804000000.0,15938000000.0,23742000000.0,146984000000.0,170726000000.0,200000000.0,21039000000.0,4994000000.0,143980000000.0,165019000000.0,5707000000.0,-25000000.0,843000000.0,-31000000.0,-464000000.0,-129000000.0,360000000.0,264.12
2021-12-31,3971000000.0,3760000000.0,2282000000.0,908000000.0,701000000.0,5.96,1056000000.0,1053000000.0,115000000.0,7248000000.0,16222000000.0,23470000000.0,152509000000.0,175979000000.0,779000000.0,22954000000.0,4996000000.0,147340000000.0,170294000000.0,5685000000.0,3000000.0,1551000000.0,-34000000.0,-3007000000.0,-127000000.0,1464000000.0,301.66
2022-03-31,5198000000.0,3655000000.0,2244000000.0,963000000.0,761000000.0,6.55,1092000000.0,1104000000.0,114000000.0,6742000000.0,16215000000.0,22957000000.0,144568000000.0,167525000000.0,200000000.0,24298000000.0,4486000000.0,138217000000.0,162515000000.0,5010000000.0,-12000000.0,409000000.0,-44000000.0,-1665000000.0,-129000000.0,518000000.0,300.36
2022-06-30,4805000000.0,3508000000.0,2130000000.0,999000000.0,756000000.0,6.61,1152000000.0,1144000000.0,112000000.0,7561000000.0,16385000000.0,23946000000.0,134551000000.0,158497000000.0,200000000.0,26750000000.0,4902000000.0,127443000000.0,154193000000.0,4304000000.0,8000000.0,1409000000.0,-40000000.0,-2927000000.0,-137000000.0,2089000000.0,237.68
2022-09-30,2817000000.0,3491000000.0,2120000000.0,737000000.0,548000000.0,4.86,887000000.0,894000000.0,111000000.0,7993000000.0,16046000000.0,24039000000.0,129315000000.0,153354000000.0,201000000.0,30396000000.0,5223000000.0,119701000000.0,150097000000.0,3257000000.0,-7000000.0,1372000000.0,-42000000.0,-4649000000.0,-135000000.0,3606000000.0,251.95
2022-12-31,3617000000.0,3617000000.0,2152000000.0,681000000.0,494000000.0,0.0,0.0,903000000.0,108900000.0,7097000000.0,15799000000.0,22896000000.0,135572000000.0,158468000000.0,0.0,33218000000.0,5184000000.0,121637000000.0,154855000000.0,3613000000.0,0.0,0.0,0.0,0.0,401000000.0,0.0,311.37
