,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2018-06-30,8018000000.0,7053000000.0,965000000.0,965000000.0,697500000.0,1.2,1036900000.0,965000000.0,582000000.0,157700000.0,8640900000.0,8798601000.0,34564900000.0,43363500000.0,28239000000.0,3859500000.0,4123700000.0,32362700000.0,11000800000.0,71900000.0,1736200000.0,-61000000.0,-1775600000.0,0.0,500000.0,59.15,0
2018-09-30,8495800000.0,7281700000.0,1214100000.0,1214100000.0,928400000.0,1.58,1289800000.0,1214100000.0,582700000.0,122700000.0,9267100000.0,9389800000.0,36153900000.0,45543700000.0,29554100000.0,3859900000.0,4130800000.0,33684900000.0,11858800000.0,75700000.0,1718200000.0,-61400000.0,-1700400000.0,0.0,-52800000.0,71.04,0
2018-12-31,8035099000.0,7708601000.0,326498500.0,326498000.0,249999900.0,0.44,401698100.0,326500000.0,582400000.0,75000000.0,9193200000.0,9268200000.0,37306800000.0,46575000000.0,31133800000.0,4404900000.0,4619400000.0,35753200000.0,10821800000.0,75200000.0,1083300000.0,-99900000.0,-1378300000.0,0.0,247300000.0,60.33,0
2019-03-31,9300000000.0,7640800000.0,1659200000.0,1659200000.0,1078400000.0,1.8399999999999999,1729900000.0,1659200000.0,583500000.0,158700000.0,10032600000.0,10191300000.0,38659000000.0,48850300000.0,32074500000.0,4405400000.0,4665100000.0,36739600000.0,12110700000.0,70700000.0,1868500000.0,-69600000.0,-277400000.0,-1467900000.0,-1507400000.0,72.09,0
2019-06-30,9450700000.0,8108200000.0,1342500000.0,1342500000.0,972700000.0,1.67,1424200000.0,1342500000.0,583600000.0,92900000.0,10218600000.0,10311500000.0,41012700000.0,51324200000.0,33232800000.0,4406000000.0,4760600000.0,37993400000.0,13330800000.0,81700000.0,1506200000.0,-109000000.0,-1501700000.0,-58400000.0,-70300000.0,79.93,0
2019-09-30,9530500000.0,8418100000.0,1112400000.0,1112400000.0,841700000.0,1.43,1196800000.0,1112400000.0,584100000.0,46200000.0,10985600000.0,11031800000.0,42976300000.0,54008100000.0,35119400000.0,4406500000.0,4765400000.0,39884800000.0,14123300000.0,84400000.0,1758700000.0,-62700000.0,-1673900000.0,-58400000.0,-131500000.0,77.25,0
2019-12-31,10741100000.0,9301699000.0,1439402000.0,1439401000.0,1050600000.0,1.81,1542001000.0,1439399000.0,583800000.0,227400000.0,10886200000.0,11113600000.0,43796900000.0,54910500000.0,36486600000.0,4407100000.0,4750700000.0,41237300000.0,13673200000.0,102600000.0,1128200000.0,-68900000.0,-885300000.0,-58500000.0,-61700000.0,72.39,0
2020-03-31,9323400000.0,8347900000.0,975500000.0,975500000.0,686000000.0,1.17,1071500000.0,975500000.0,584700000.0,370400000.0,11207900000.0,11578300000.0,44688100000.0,56266400000.0,36295300000.0,5394000000.0,5619600000.0,41914900000.0,14351500000.0,96000000.0,1625800000.0,-58900000.0,-1053800000.0,-1375400000.0,-429000000.0,73.84,0
2020-06-30,10971700000.0,8589199000.0,2382501000.0,2382501000.0,1783700000.0,3.05,2487901000.0,2382501000.0,584800000.0,109100000.0,11211700000.0,11320800000.0,48100600000.0,59421400000.0,37144900000.0,5394700000.0,5605900000.0,42750800000.0,16670600000.0,105400000.0,2252800000.0,-47000000.0,-2217300000.0,-58500000.0,-296800000.0,80.11,0
2020-09-30,10947200000.0,8908200000.0,2039000000.0,2039000000.0,1524100000.0,2.61,2154000000.0,2039000000.0,585100000.0,91100000.0,12561600000.0,12652700000.0,50253300000.0,62906000000.0,39195500000.0,5395400000.0,5623300000.0,44818800000.0,18087200000.0,115000000.0,1479700000.0,-57000000.0,-1380400000.0,-58500000.0,-117300000.0,94.67,0
2020-12-31,11415800000.0,9197102000.0,2218701000.0,2218699000.0,1683900000.0,2.87,2334999000.0,2218698000.0,584900000.0,76500000.0,12179500000.0,12256000000.0,51842300000.0,64098300000.0,41353600000.0,5396100000.0,5706100000.0,47059700000.0,17038600000.0,116300000.0,1547300000.0,-38700000.0,-1466200000.0,-58600000.0,-95700000.0,98.88,0
2021-03-31,11445200000.0,9466000000.0,1979200000.0,1979200000.0,1473300000.0,2.52,2088000000.0,1979200000.0,584900000.0,123200000.0,13362000000.0,13485200000.0,51928100000.0,65413300000.0,41938500000.0,5396800000.0,5638300000.0,47576800000.0,17836500000.0,108800000.0,2614500000.0,-43000000.0,224900000.0,-2694500000.0,-2792700000.0,95.61,0
2021-06-30,11905500000.0,10775700000.0,1129800000.0,1129800000.0,783400000.0,1.34,1241000000.0,1129800000.0,584600000.0,114600000.0,14145300000.0,14259900000.0,55564400000.0,69824300000.0,45531800000.0,5397500000.0,5616900000.0,51148700000.0,18675600000.0,111200000.0,2323900000.0,-44000000.0,-2243400000.0,-58500000.0,-89100000.0,98.21,0
2021-09-30,11859200000.0,11586600000.0,272600600.0,272600600.0,111800000.0,0.19,396800600.0,272600600.0,584700000.0,285500000.0,15291600000.0,15577100000.0,57041000000.0,72618100000.0,49051100000.0,4898200000.0,5008900000.0,54060000000.0,18558100000.0,124200000.0,2371200000.0,-38200000.0,-1556600000.0,-58500000.0,-643700000.0,90.39,0
2021-12-31,12492100000.0,11166800000.0,1325299000.0,1325300000.0,955499800.0,1.6400000000000001,1448800000.0,1325298000.0,584500000.0,202100000.0,14380000000.0,14582100000.0,56550200000.0,71132300000.0,47849000000.0,4898800000.0,5051700000.0,52900700000.0,18231600000.0,123500000.0,452100000.0,-52100000.0,455300000.0,-935000000.0,-990800000.0,102.65,0
2022-03-31,11841500000.0,11328100000.0,513399400.0,513399400.0,307200000.0,0.53,626099400.0,513399400.0,584300000.0,287300000.0,15544000000.0,15831300000.0,58098290000.0,73929600000.0,50492800000.0,6385600000.0,6385600000.0,56878400000.0,17051200000.0,112700000.0,2502300000.0,-66500000.0,-3802500000.0,-58500000.0,1385400000.0,113.99,0
2022-06-30,11519200000.0,11785900000.0,-266699200.0,-491499000.0,-549600000.0,-0.9400000000000001,-405299000.0,-491499000.0,584300000.0,240500000.0,15523000000.0,15763500000.0,57293700000.0,73057200000.0,51018000000.0,6386500000.0,6386500000.0,57404500000.0,15652700000.0,86200000.0,1389600000.0,-58600000.0,-1377100000.0,-58500000.0,-59300000.0,116.27,0
2022-09-30,12780200000.0,12486000000.0,294200200.0,294200200.0,117400000.0,0.2,349900200.0,294200200.0,584500000.0,365300000.0,17174500000.0,17539800000.0,57984400000.0,75524200000.0,54360600000.0,6387400000.0,6387400000.0,60748000000.0,14776200000.0,55700000.0,2027300000.0,-103900000.0,-1781500000.0,-58500000.0,-121000000.0,116.21,0
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16249000000.0,16249000000.0,59216000000.0,75465000000.0,47652900000.0,6388300000.0,11921100000.0,59574000000.0,15891000000.0,0.0,0.0,0.0,0.0,175500000.0,0.0,129.71,0
