,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-01-31,15494000000.0,11243000000.0,4251000000.0,2829000000.0,1098000000.0,553000000.0,0.67,1490000000.0,1098000000.0,839000000.0,690000000.0,11393000000.0,12772000000.0,22519000000.0,35291000000.0,1431000000.0,12096000000.0,15564000000.0,17322000000.0,29418000000.0,5873000000.0,392000000.0,-307000000.0,-312000000.0,-369000000.0,-341000000.0,523000000.0,104.73
2018-04-30,17360000000.0,11612000000.0,5748000000.0,3934000000.0,1465000000.0,985000000.0,1.19,1852000000.0,1465000000.0,825000000.0,1770000000.0,13204000000.0,16033000000.0,22204000000.0,38237000000.0,896000000.0,15774000000.0,14948000000.0,16718000000.0,32492000000.0,5745000000.0,387000000.0,3429000000.0,-219000000.0,-236000000.0,-340000000.0,-2215000000.0,82.43
2018-07-31,20888000000.0,14003000000.0,6885000000.0,4386000000.0,2163000000.0,1515000000.0,1.8599999999999999,2527000000.0,2163000000.0,813000000.0,2642000000.0,11885000000.0,15483000000.0,21622000000.0,37105000000.0,894000000.0,14581000000.0,14937000000.0,16743000000.0,31324000000.0,5781000000.0,364000000.0,2358000000.0,-294000000.0,-244000000.0,-338000000.0,-1422000000.0,99.34
2018-10-31,17415000000.0,12038000000.0,5377000000.0,3997000000.0,957000000.0,628000000.0,0.78,1412000000.0,957000000.0,806000000.0,1876000000.0,12365000000.0,15138000000.0,21575000000.0,36713000000.0,1117000000.0,15069000000.0,14460000000.0,16250000000.0,31319000000.0,5394000000.0,455000000.0,1011000000.0,-283000000.0,-308000000.0,-390000000.0,-1284000000.0,95.22
2019-01-31,15646000000.0,10748000000.0,4898000000.0,5096000000.0,-567000000.0,-821000000.0,-1.03,786000000.0,-567000000.0,811000000.0,729000000.0,12561000000.0,14228000000.0,20280000000.0,34508000000.0,1832000000.0,14497000000.0,14391000000.0,16367000000.0,30864000000.0,3644000000.0,1353000000.0,-605000000.0,-302000000.0,-292000000.0,-387000000.0,-203000000.0,96.16
2019-04-30,17741000000.0,12160000000.0,5581000000.0,3862000000.0,1417000000.0,1043000000.0,1.31,1754000000.0,1417000000.0,796000000.0,3163000000.0,15026000000.0,19335000000.0,23884000000.0,43219000000.0,1008000000.0,17781000000.0,16542000000.0,22202000000.0,39983000000.0,3236000000.0,337000000.0,2137000000.0,-181000000.0,-131000000.0,-385000000.0,446000000.0,113.14
2019-07-31,20992000000.0,14252000000.0,6740000000.0,4048000000.0,2381000000.0,1670000000.0,2.14,2728000000.0,2381000000.0,781000000.0,2071000000.0,13730000000.0,16796000000.0,23899000000.0,40695000000.0,1009000000.0,15835000000.0,16538000000.0,22220000000.0,38055000000.0,2640000000.0,347000000.0,1446000000.0,-303000000.0,-327000000.0,-382000000.0,-2297000000.0,101.4
2019-10-31,17388000000.0,11748000000.0,5640000000.0,3772000000.0,1558000000.0,1046000000.0,1.3599999999999999,1903000000.0,1558000000.0,769000000.0,921000000.0,13716000000.0,15662000000.0,24102000000.0,39764000000.0,1211000000.0,15063000000.0,16635000000.0,22243000000.0,37306000000.0,2458000000.0,345000000.0,528000000.0,-372000000.0,-405000000.0,-428000000.0,-1127000000.0,111.61
2020-01-31,16027000000.0,11045000000.0,4982000000.0,3685000000.0,958000000.0,509000000.0,0.67,1339000000.0,958000000.0,777000000.0,876000000.0,13179000000.0,15318000000.0,24153000000.0,39471000000.0,2538000000.0,15182000000.0,16768000000.0,22317000000.0,37499000000.0,1972000000.0,381000000.0,185000000.0,-465000000.0,-506000000.0,-423000000.0,243000000.0,116.24
2020-04-30,19675000000.0,13162000000.0,6513000000.0,4196000000.0,1991000000.0,1333000000.0,1.76,2364000000.0,1991000000.0,755000000.0,6156000000.0,14283000000.0,21926000000.0,23906000000.0,45832000000.0,1604000000.0,18325000000.0,20200000000.0,25791000000.0,44116000000.0,1716000000.0,373000000.0,4450000000.0,-303000000.0,-288000000.0,-420000000.0,1092000000.0,104.75
