,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-06-30,653532000.0,223098000.0,430434000.0,11835000.0,356889000.0,260116000.0,0.7000000000000001,574882100.0,356889000.0,371795000.0,187416000.0,187416000.0,20022460000.0,20714950000.0,24000000.0,177365000.0,8421859000.0,9369976000.0,9877475000.0,10837480000.0,217993000.0,252635000.0,302282000.0,299338000.0,-224188000.0,-447210000.0,58.82
2020-09-30,622433000.0,228534000.0,393899000.0,10859000.0,182410000.0,90513000.0,0.24,395146000.0,182410000.0,371869000.0,178333000.0,178333000.0,19943460000.0,20623980000.0,2000000.0,224280000.0,8396729000.0,9315647000.0,9869610000.0,10754370000.0,212736000.0,399238000.0,-146073000.0,-148889000.0,-224241000.0,-260668000.0,51.33
2020-12-31,613435100.0,223496000.0,389939100.0,11093000.0,356605900.0,252084000.0,0.68,583205900.0,356605900.0,371791000.0,42591000.0,42591000.0,19745010000.0,20286890000.0,451000000.0,173262000.0,8044256000.0,9021013000.0,9523400000.0,10763490000.0,226600000.0,231212000.0,249152000.0,247128000.0,-224270000.0,-613826000.0,59.28
2021-03-31,597602000.0,246654000.0,350948000.0,15383000.0,135560000.0,56766000.0,0.15,344264000.0,135560000.0,372280000.0,35453000.0,35453000.0,19648560000.0,20169020000.0,436000000.0,223517000.0,8037556000.0,9076419000.0,9616774000.0,10552240000.0,208704000.0,346053000.0,-93867000.0,-126345000.0,-224308000.0,-221600000.0,71.63
2021-06-30,598059000.0,229602000.0,368457000.0,14678000.0,376844000.0,315614000.0,0.84,587277000.0,376844000.0,373812000.0,39492000.0,39492000.0,19944180000.0,20464350000.0,636000000.0,180102000.0,8250691000.0,9327817000.0,9822299000.0,10642050000.0,210433000.0,230072000.0,26722000.0,70990000.0,-224675000.0,-6397000.0,77.0
2021-09-30,619227000.0,237142000.0,386064000.0,13041000.0,521554000.0,431178000.0,1.15,745677900.0,521554000.0,374308000.0,39707000.0,39707000.0,20145620000.0,20663020000.0,32000000.0,223299000.0,8144648000.0,9252705000.0,9789365000.0,10873650000.0,224124000.0,402088000.0,-222609000.0,-254234000.0,-225548000.0,-313606000.0,80.92
2021-12-31,643396000.0,235394000.0,409735900.0,13404000.0,641882900.0,526202000.0,1.4,873426900.0,641883200.0,374897000.0,123832000.0,123832000.0,20570700000.0,21169240000.0,641000000.0,176523000.0,8341453000.0,9493175000.0,9982033000.0,11187210000.0,231544000.0,281971000.0,-73766100.0,-125031000.0,-225937000.0,-23453000.0,90.5
2022-03-31,643453000.0,256309000.0,397039000.0,17238000.0,149738000.0,69993000.0,0.19,388602000.0,149738000.0,375509000.0,41140000.0,41140000.0,20317430000.0,20830240000.0,457000000.0,214557000.0,8160151000.0,9269654000.0,9795504000.0,11034730000.0,238864000.0,368056000.0,-173557000.0,-197037000.0,-226639000.0,-419555000.0,89.92
2022-06-30,688778000.0,244764000.0,442266000.0,16423000.0,309934000.0,223328000.0,0.59,542907000.0,309934000.0,375769000.0,45010000.0,45010000.0,20060500000.0,20574350000.0,185000000.0,188439000.0,7968042000.0,8970712000.0,9469664000.0,11104680000.0,232973000.0,322818000.0,176657000.0,151702000.0,-234966000.0,-467569000.0,72.22
2022-09-30,688392000.0,250138000.0,444961000.0,13372000.0,414011000.0,322252000.0,0.86,639715000.0,414011000.0,375850000.0,44788000.0,44788000.0,19754800000.0,20265400000.0,0.0,225495000.0,7498191000.0,8468626000.0,9003668000.0,11261740000.0,225704000.0,429354000.0,378328000.0,288671000.0,-235074000.0,-715209000.0,67.22
