,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2018-03-31,1224000000.0,1257000000.0,-33000000.0,-37000000.0,-31000000.0,-0.19,-19000000.0,-37000000.0,164000000.0,604000000.0,2234000000.0,2838000000.0,18632000000.0,21470000000.0,10544000000.0,853000000.0,2980000000.0,13524000000.0,7946000000.0,18000000.0,154000000.0,-3000000.0,-54000000.0,-80000000.0,-153000000.0,74.26,0
2018-06-30,1558000000.0,1278000000.0,280000000.0,277000000.0,217000000.0,1.33,291000000.0,277000000.0,163200000.0,521000000.0,2349000000.0,2870000000.0,18890000000.0,21760000000.0,10806000000.0,889000000.0,3038000000.0,13844000000.0,7916000000.0,14000000.0,310000000.0,-6000000.0,-211000000.0,-86000000.0,-182000000.0,66.86,0
2018-09-30,1915000000.0,1280000000.0,635000000.0,632000000.0,553000000.0,3.4,648000000.0,632000000.0,162700000.0,616000000.0,2331000000.0,2947000000.0,19533000000.0,22480000000.0,10939000000.0,860000000.0,3207000000.0,14146000000.0,8334000000.0,16000000.0,362000000.0,-5000000.0,-115000000.0,-85000000.0,-152000000.0,76.81,0
2018-12-31,710000000.0,1272000000.0,-562000000.0,-568000000.0,-452000000.0,-2.7800000000000002,-553000000.0,-568000000.0,163200000.0,784000000.0,2331000000.0,3115000000.0,18820000000.0,21935000000.0,11002000000.0,866000000.0,3100000000.0,14102000000.0,7833000000.0,15000000.0,355000000.0,-6000000.0,-71000000.0,-85000000.0,-116000000.0,77.42,0
2019-03-31,2159000000.0,1271000000.0,888000000.0,880000000.0,695000000.0,4.27,899000000.0,880000000.0,163000000.0,802000000.0,2512000000.0,3314000000.0,20038000000.0,23352000000.0,11445000000.0,877000000.0,3277000000.0,14722000000.0,8630000000.0,19000000.0,200000000.0,-5000000.0,-56000000.0,-85000000.0,-126000000.0,85.9,0
2019-06-30,1913000000.0,1366000000.0,547000000.0,543000000.0,428000000.0,2.59,560000000.0,543000000.0,163300000.0,803000000.0,2634000000.0,3437000000.0,20900000000.0,24337000000.0,11703000000.0,884000000.0,3503000000.0,15206000000.0,9131000000.0,17000000.0,276000000.0,-8000000.0,-160000000.0,-90000000.0,-115000000.0,103.67,0
2019-09-30,1700000000.0,1387000000.0,313000000.0,308000000.0,248000000.0,1.51,326000000.0,308000000.0,163300000.0,787000000.0,2566000000.0,3353000000.0,21389000000.0,24742000000.0,11731000000.0,885000000.0,3640000000.0,15371000000.0,9371000000.0,18000000.0,404000000.0,-9000000.0,-310000000.0,-90000000.0,-110000000.0,116.67,0
2019-12-31,2152000000.0,1352000000.0,800000000.0,794000000.0,626000000.0,3.84,812000000.0,794000000.0,163200000.0,767000000.0,2597000000.0,3364000000.0,22044000000.0,25408000000.0,11770000000.0,885000000.0,3774000000.0,15544000000.0,9864000000.0,18000000.0,328000000.0,-2000000.0,-153000000.0,-90000000.0,-195000000.0,105.15,0
2020-03-31,-99000000.0,1459000000.0,-1558000000.0,-1563000000.0,-1226000000.0,-7.5600000000000005,-1541000000.0,-1563000000.0,162200000.0,486000000.0,2667000000.0,3153000000.0,20214000000.0,23367000000.0,11989000000.0,960000000.0,3336000000.0,15325000000.0,8042000000.0,22000000.0,167000000.0,-4000000.0,-136000000.0,-90000000.0,-312000000.0,75.45,0
2020-06-30,2714000000.0,1550000000.0,1164000000.0,1159000000.0,909000000.0,5.65,1179000000.0,1159000000.0,160800000.0,706000000.0,2796000000.0,3502000000.0,21948000000.0,25450000000.0,12451000000.0,967000000.0,3741000000.0,16192000000.0,9258000000.0,20000000.0,447000000.0,-6000000.0,-106000000.0,-95000000.0,-121000000.0,64.03,0
2020-09-30,2227000000.0,1595000000.0,632000000.0,627000000.0,484000000.0,3.01,647000000.0,627000000.0,160900000.0,914000000.0,2675000000.0,3589000000.0,22781000000.0,26370000000.0,12671000000.0,967000000.0,3954000000.0,16625000000.0,9745000000.0,20000000.0,505000000.0,-6000000.0,-170000000.0,-95000000.0,-127000000.0,77.97,0
2020-12-31,2694000000.0,1359000000.0,1335000000.0,1330000000.0,1049000000.0,6.52,1349000000.0,1330000000.0,161200000.0,900000000.0,2627000000.0,3527000000.0,24015000000.0,27542000000.0,12621000000.0,899000000.0,4132000000.0,16753000000.0,10789000000.0,19000000.0,372000000.0,-4000000.0,-148000000.0,-95000000.0,-238000000.0,87.37,0
2021-03-31,2227000000.0,1442000000.0,785000000.0,781000000.0,620000000.0,3.85,804000000.0,781000000.0,161000000.0,947000000.0,2792000000.0,3739000000.0,24574000000.0,28313000000.0,13081000000.0,905000000.0,4094000000.0,17175000000.0,11138000000.0,23000000.0,354000000.0,-5000000.0,-153000000.0,-95000000.0,-154000000.0,103.09,0
2021-06-30,2295000000.0,1405000000.0,890000000.0,885000000.0,703000000.0,4.36,908000000.0,885000000.0,161100000.0,1003000000.0,2959000000.0,3962000000.0,25715000000.0,29677000000.0,13416000000.0,907000000.0,4403000000.0,17819000000.0,11858000000.0,23000000.0,563000000.0,-4000000.0,-373000000.0,-100000000.0,-134000000.0,116.62,0
2021-09-30,1785000000.0,1583000000.0,202000000.0,197000000.0,153000000.0,0.9500000000000001,220000000.0,197000000.0,161100000.0,1085000000.0,2894000000.0,3979000000.0,25928000000.0,29907000000.0,13633000000.0,904000000.0,4433000000.0,18066000000.0,11841000000.0,23000000.0,601000000.0,-3000000.0,-365000000.0,-100000000.0,-154000000.0,114.22,0
2021-12-31,3323000000.0,1457000000.0,1866000000.0,1860000000.0,1470000000.0,9.14,1884000000.0,1860000000.0,161000000.0,1139000000.0,2865000000.0,4004000000.0,27383000000.0,31387000000.0,13590000000.0,897000000.0,4692000000.0,18282000000.0,13105000000.0,24000000.0,463000000.0,-3000000.0,-166000000.0,-100000000.0,-243000000.0,113.93,0
2022-03-31,1215000000.0,1558000000.0,-343000000.0,-347000000.0,-273000000.0,-1.7000000000000002,-318000000.0,-347000000.0,160400000.0,987000000.0,3043000000.0,4030000000.0,26220000000.0,30250000000.0,13953000000.0,890000000.0,4205000000.0,18158000000.0,12092000000.0,29000000.0,198000000.0,-4000000.0,-162000000.0,-99000000.0,-188000000.0,135.96,0
2022-06-30,820000000.0,1843000000.0,-1023000000.0,-1028000000.0,-808000000.0,-5.06,-1002000000.0,-1028000000.0,159600000.0,1098000000.0,3243000000.0,4341000000.0,24851000000.0,29192000000.0,14577000000.0,885000000.0,4062000000.0,18639000000.0,10553000000.0,26000000.0,557000000.0,-4000000.0,-162000000.0,-109000000.0,-284000000.0,118.98,0
2022-09-30,1408000000.0,1969000000.0,-561000000.0,-565000000.0,-418000000.0,-2.64,-539000000.0,-565000000.0,158000000.0,1083000000.0,3203000000.0,4286000000.0,23913000000.0,28199000000.0,14964000000.0,887000000.0,3804000000.0,18768000000.0,9431000000.0,26000000.0,666000000.0,-4000000.0,-322000000.0,-108000000.0,-359000000.0,89.57,0
