,Sym,Value ($000)
2013-12-01,TTC,0.0
2013-12-01,WPG,0.0
2013-12-01,CR,0.0
2013-12-01,GGG,0.0
2013-12-01,VMI,0.0
2013-12-01,SJR-B.TO,0.0
2013-12-01,STWD,0.0
2013-12-01,SITC,0.0
2013-12-01,SVC,0.0
2013-12-01,AYI,0.0
2013-12-01,CPT,0.0
2013-12-01,GATX,0.0
2013-12-01,DLR,0.0
2013-12-01,ACC,0.0
2013-12-01,VRE,0.0
2013-12-01,REG,0.0
2013-12-01,LECO,0.0
2013-12-01,SLG,0.0
2013-12-01,DEI,0.0
2013-12-01,WRI,0.0
2013-12-01,HUBB,0.0
2013-12-01,KIM,0.0
2013-12-01,OFC,0.0
2013-12-01,NDSN,0.0
2013-12-01,ESS,0.0
2013-12-01,TWO,0.0
2013-12-01,HR,0.0
2013-12-01,DHC,0.0
2013-12-01,ELME,0.0
2013-12-01,KRC,0.0
2013-12-01,EWBC,0.0
2013-12-01,BHC,0.0
2013-12-01,AEE,0.0
2013-12-01,LNT,0.0
2013-12-01,WTRG,0.0
2013-12-01,AWK,0.0
2013-12-01,GXP,0.0
2013-12-01,WEC,0.0
2013-12-01,DTE,0.0
2013-12-01,AES,0.0
2013-12-01,MDU,0.0
2013-12-01,PNW,0.0
2013-12-01,ES,0.0
2013-12-01,XEL,0.0
2013-12-01,ATO,0.0
2013-12-01,VVC,0.0
2013-12-01,CMS,0.0
2013-12-01,UGI,0.0
2013-12-01,IDA,0.0
2013-12-01,KL,0.0
2013-12-01,PNM,0.0
2013-12-01,FLO,0.0
2013-12-01,SMG,0.0
2013-12-01,CHD,0.0
2013-12-01,TSLA,0.0
2013-12-01,CIEN,0.0
2013-12-01,FLIR,0.0
2013-12-01,NATI,0.0
2013-12-01,KN,0.0
2013-12-01,VSH,0.0
2013-12-01,NOW,0.0
2013-12-01,ROL,0.0
2013-12-01,BCO,0.0
2013-12-01,ERIE,0.0
2013-12-01,CLGX,0.0
2013-12-01,FAF,0.0
2013-12-01,CINF,0.0
2013-12-01,KMPR,0.0
2013-12-01,MCY,0.0
2013-12-01,WRB,0.0
2013-12-01,AFG,0.0
2013-12-01,CNA,0.0
2013-12-01,THG,0.0
2013-12-01,ORI,0.0
2013-12-01,PRA,0.0
2013-12-01,PVG,0.0
2013-12-01,TMUS,0.0
2013-12-01,ST,0.0
2013-12-01,RNR,0.0
2013-12-01,AXS,0.0
2013-12-01,AMTD,0.0
2013-12-01,EWW,0.0
2013-12-01,HOUS,0.0
2013-12-01,BABA,0.0
